Número por área,Área,Complexidade,Tarefa,Condição,Área
30,Conheciemnto Geral,Baixa,Coelhos são animais que gostam de comer cenouras,1,Controle
31,Conheciemnto Geral,Baixa,Golfinhos emitem diferentes sons para poder se comunicar,1,Controle
32,Conheciemnto Geral,Baixa,O vinagre comum é bastante usado para temperar saladas,1,Controle
33,Conheciemnto Geral,Baixa,A primavera é a estação do ano antes do verão,1,Controle
34,Conheciemnto Geral,Baixa,Ursos selvagens vivem em regiões de florestas e montanhas,1,Controle
35,Conheciemnto Geral,Baixa,Formigas operárias costumam andar organizadas em fileiras,1,Controle
36,Conheciemnto Geral,Baixa,O Halloween é uma festa popular celebrada em outubro,1,Controle
37,Conheciemnto Geral,Baixa,Sapos emitem um som característico chamado coaxar,1,Controle
38,Conheciemnto Geral,Baixa,Tigres são felinos que possuem listras escuras na pelagem,1,Controle
39,Conheciemnto Geral,Baixa,A África é reconhecida como um extenso continente,1,Controle
40,Conheciemnto Geral,Baixa,Zebras são animais conhecidos por terem listras pretas e brancas,1,Controle
41,Conheciemnto Geral,Baixa,O verão é uma estação do ano tipicamente quente,1,Controle
42,Conheciemnto Geral,Baixa,Lobos são animais que costumam viver em matilhas,1,Controle
43,Conheciemnto Geral,Baixa,A lã usada em roupas quentes vem de ovelhas,1,Controle
44,Conheciemnto Geral,Baixa,O Dia do Trabalho é um feriado celebrado em maio,1,Controle
45,Conheciemnto Geral,Baixa,Corujas são aves conhecidas por suas atividades noturnas,1,Controle
46,Conheciemnto Geral,Baixa,O papel usado pode ser coletado e depois reciclado,1,Controle
47,Conheciemnto Geral,Baixa,Aniversários são datas consideradas celebrações muito pessoais,1,Controle
48,Conheciemnto Geral,Baixa,O chocolate tradicional é um doce que vem do cacau,1,Controle
49,Conheciemnto Geral,Baixa,Feriados nacionais são geralmente estabelecidos como dias de folga,1,Controle
50,Conheciemnto Geral,Baixa,Esquilos são roedores que costumam guardar nozes para o inverno,1,Controle
51,Conheciemnto Geral,Baixa,Focas são animais que vivem em regiões polares e costeiras,1,Controle
52,Conheciemnto Geral,Baixa,Existem muitos países diferentes espalhados pela superfície da Terra,1,Controle
53,Conheciemnto Geral,Baixa,O pão caseiro é geralmente feito utilizando farinha de trigo,1,Controle
54,Conheciemnto Geral,Baixa,Cachorros costumam latir para se comunicar ou alertar,1,Controle
55,Conheciemnto Geral,Baixa,O ouro puro encontrado na natureza tem cor amarela,1,Controle
56,Conheciemnto Geral,Baixa,Muitos golfinhos vivem agrupados em oceanos e mares,1,Controle
57,Conheciemnto Geral,Baixa,Gatos demonstram contentamento quando começam a ronronar,1,Controle
58,Conheciemnto Geral,Baixa,O carvão mineral é uma rocha de cor preta,1,Controle
59,Conheciemnto Geral,Baixa,Cobras passam por um processo de troca de pele,1,Controle
60,Conheciemnto Geral,Baixa,Zebras selvagens vivem em grandes planícies chamadas savanas,1,Controle
61,Conheciemnto Geral,Baixa,Limões frescos geralmente têm um sabor bastante azedo,1,Controle
62,Conheciemnto Geral,Baixa,A primavera é a estação que vem depois do inverno,1,Controle
63,Conheciemnto Geral,Baixa,Alguns ursos hibernam durante os meses frios do inverno,1,Controle
64,Conheciemnto Geral,Baixa,O algodão natural é conhecido por ser muito macio,1,Controle
65,Conheciemnto Geral,Baixa,Aniversários são frequentemente comemorados com um bolo festivo,1,Controle
66,Conheciemnto Geral,Baixa,O plástico aquecido pode ser facilmente moldado em formas,1,Controle
67,Conheciemnto Geral,Baixa,Gorilas são primatas conhecidos por serem bastante fortes,1,Controle
68,Conheciemnto Geral,Baixa,Museus de história geralmente exibem artefatos antigos e valiosos,1,Controle
69,Conheciemnto Geral,Baixa,Esquilos são ágeis e costumam subir em árvores rapidamente,1,Controle
70,Conheciemnto Geral,Baixa,Leões emitem um som alto e forte chamado rugido,1,Controle
71,Conheciemnto Geral,Baixa,Patos são aves aquáticas que sabem nadar muito bem,1,Controle
72,Conheciemnto Geral,Baixa,Formigas são conhecidas por serem insetos muito trabalhadores,1,Controle
73,Conheciemnto Geral,Baixa,A maioria dos cachorros possui quatro patas para locomoção,1,Controle
74,Conheciemnto Geral,Baixa,A maioria das espécies de aves põe ovos em ninhos,1,Controle
75,Conheciemnto Geral,Baixa,As flores coloridas geralmente possuem pétalas delicadas,1,Controle
76,Conheciemnto Geral,Baixa,As árvores se fixam no solo através de suas raízes,1,Controle
77,Conheciemnto Geral,Baixa,Borboletas adultas são insetos que podem voar longas distâncias,1,Controle
78,Conheciemnto Geral,Baixa,Coelhos domésticos possuem orelhas compridas e muito sensíveis,1,Controle
79,Conheciemnto Geral,Baixa,Ovelhas são animais criados por sua lã peluda,1,Controle
80,Conheciemnto Geral,Baixa,Muitos passarinhos constroem ninhos para proteger seus filhotes,1,Controle
81,Conheciemnto Geral,Baixa,Vacas leiteiras são criadas para produzir o leite consumido,1,Controle
82,Conheciemnto Geral,Baixa,Cenouras são raízes comestíveis consideradas como vegetais comuns,1,Controle
83,Conheciemnto Geral,Baixa,Golfinhos são mamíferos marinhos conhecidos por serem inteligentes,1,Controle
84,Conheciemnto Geral,Baixa,Minhocas são animais que geralmente vivem embaixo do solo,1,Controle
85,Conheciemnto Geral,Baixa,Girafas são animais facilmente reconhecidas por seus pescoços longos,1,Controle
86,Conheciemnto Geral,Baixa,O trigo moído é o principal ingrediente para fazer pão,1,Controle
87,Conheciemnto Geral,Baixa,Muitas espécies de aranha são capazes de tecer uma teia,1,Controle
88,Conheciemnto Geral,Baixa,Gafanhotos são insetos conhecidos por seus grandes saltos,1,Controle
89,Conheciemnto Geral,Baixa,Morcegos são mamíferos voadores com hábitos geralmente noturnos,1,Controle
90,Conheciemnto Geral,Baixa,O fogo aceso produz luz e é muito quente,1,Controle
91,Conheciemnto Geral,Baixa,Chá é uma bebida que pode ser servida quente ou fria,1,Controle
92,Conheciemnto Geral,Baixa,O ar que respiramos é normalmente invisível aos nossos olhos,1,Controle
93,Conheciemnto Geral,Baixa,Refrigerante em garrafa geralmente borbulha bastante quando aberto,1,Controle
94,Conheciemnto Geral,Baixa,Canetas esferográficas são comumente usadas para escrever em papel,1,Controle
95,Conheciemnto Geral,Baixa,Tesouras escolares são usadas para cortar papel e cartolina,1,Controle
96,Conheciemnto Geral,Baixa,Blocos de gelo retirados do congelador são muito frios,1,Controle
97,Conheciemnto Geral,Baixa,"O vidro comum quebra facilmente, por isso é frágil",1,Controle
98,Conheciemnto Geral,Baixa,Uma cadeira é um móvel que serve para sentar,1,Controle
99,Conheciemnto Geral,Baixa,Copos de vidro ou plástico são usados para beber líquidos,1,Controle
100,Conheciemnto Geral,Baixa,Livros impressos contêm muitas páginas com textos ou imagens,1,Controle
101,Conheciemnto Geral,Baixa,Escadas fixas ou móveis servem para subir a lugares altos,1,Controle
102,Conheciemnto Geral,Baixa,Sabão em contato com a água geralmente produz espuma,1,Controle
103,Conheciemnto Geral,Baixa,Pneus de carro ou bicicleta são feitos de borracha resistente,1,Controle
104,Conheciemnto Geral,Baixa,Janelas de vidro são geralmente bastante transparentes à luz,1,Controle
105,Conheciemnto Geral,Baixa,Moedas de metal são usadas como forma de dinheiro,1,Controle
106,Conheciemnto Geral,Baixa,Luvas de tecido ou couro são usadas para proteger as mãos,1,Controle
107,Conheciemnto Geral,Baixa,Balões cheios de hélio podem flutuar no ar por um tempo,1,Controle
108,Conheciemnto Geral,Baixa,Chaveiros são pequenos objetos usados para segurar um conjunto de chaves,1,Controle
109,Conheciemnto Geral,Baixa,Espelhos planos e limpos refletem imagens com bastante nitidez,1,Controle
110,Conheciemnto Geral,Baixa,As pessoas precisam comer alimentos para poderem viver bem,1,Controle
111,Conheciemnto Geral,Baixa,O período do dia sempre vem antes do período da noite,1,Controle
112,Conheciemnto Geral,Baixa,"A noite, na ausência de luz artificial, é geralmente escura",1,Controle
113,Conheciemnto Geral,Baixa,As pessoas costumam dormir durante a noite para descansar,1,Controle
114,Conheciemnto Geral,Baixa,A maioria das pessoas em sociedade usa algum tipo de roupa,1,Controle
115,Conheciemnto Geral,Baixa,A chuva é formada por gotas de água que caem do céu,1,Controle
116,Conheciemnto Geral,Baixa,O vento forte pode balançar as árvores e levantar poeira,1,Controle
117,Conheciemnto Geral,Baixa,A voz humana é capaz de produzir uma variedade de sons,1,Controle
118,Conheciemnto Geral,Baixa,Bebês pequenos frequentemente choram para expressar suas necessidades,1,Controle
119,Conheciemnto Geral,Baixa,Crianças pequenas geralmente gostam muito de brincar juntas,1,Controle
120,Conheciemnto Geral,Baixa,Muitos adultos em idade ativa trabalham em diversas profissões,1,Controle
121,Conheciemnto Geral,Baixa,As estrelas distantes geralmente aparecem visíveis no céu à noite,1,Controle
122,Conheciemnto Geral,Baixa,A Lua é um astro que brilha no céu noturno,1,Controle
123,Conheciemnto Geral,Baixa,A fumaça de uma fogueira costuma subir em direção ao céu,1,Controle
124,Conheciemnto Geral,Baixa,O barulho excessivo em cidades pode ser bastante alto,1,Controle
125,Conheciemnto Geral,Baixa,Silêncio completo é a total ausência de qualquer som,1,Controle
126,Conheciemnto Geral,Baixa,"Para caminhar, as pessoas utilizam principalmente as suas pernas",1,Controle
127,Conheciemnto Geral,Baixa,Correr é uma forma de movimento geralmente mais rápida,1,Controle
128,Conheciemnto Geral,Baixa,Um sorriso espontâneo geralmente expressa um sentimento de alegria,1,Controle
129,Conheciemnto Geral,Baixa,As lágrimas que saem dos olhos têm sabor salgado,1,Controle
130,Conheciemnto Geral,Baixa,As férias escolares são um período esperado de descanso,1,Controle
131,Conheciemnto Geral,Baixa,Os fins de semana no Brasil geralmente têm dois dias,1,Controle
132,Conheciemnto Geral,Baixa,"O dia completo, incluindo noite, normalmente tem 24 horas",1,Controle
133,Conheciemnto Geral,Baixa,O relógio é um instrumento utilizado para marcar as horas,1,Controle
134,Conheciemnto Geral,Baixa,Anos bissextos ocorrem a cada quatro anos e têm um dia a mais,1,Controle
135,Conheciemnto Geral,Baixa,As quatro estações do ano se sucedem de forma cíclica,1,Controle
136,Conheciemnto Geral,Baixa,O presente é o tempo que está acontecendo neste agora,1,Controle
137,Conheciemnto Geral,Baixa,O passado é o tempo que já aconteceu e não volta,1,Controle
138,Conheciemnto Geral,Baixa,O futuro é o tempo que ainda vai acontecer adiante,1,Controle
139,Conheciemnto Geral,Baixa,Amanhã será o dia que vem logo depois de hoje,1,Controle
140,Conheciemnto Geral,Baixa,Ontem foi o dia que veio imediatamente antes de hoje,1,Controle
141,Conheciemnto Geral,Baixa,O Brasil é um país localizado na América do Sul,1,Controle
142,Conheciemnto Geral,Baixa,A capital de um país é geralmente uma cidade importante,1,Controle
143,Conheciemnto Geral,Baixa,Oceanos imensos cobrem a maior parte da superfície da Terra,1,Controle
144,Conheciemnto Geral,Baixa,Aeroportos são grandes locais que servem para pouso de aviões,1,Controle
145,Conheciemnto Geral,Baixa,Restaurantes são estabelecimentos comerciais que servem variadas comidas,1,Controle
146,Conheciemnto Geral,Baixa,Hospitais bem equipados tratam de pessoas doentes ou feridas,1,Controle
147,Conheciemnto Geral,Baixa,Escolas são instituições de ensino que educam crianças e jovens,1,Controle
148,Conheciemnto Geral,Baixa,Livrarias são lojas especializadas que vendem diferentes tipos de livros,1,Controle
149,Conheciemnto Geral,Baixa,Ruas e avenidas são vias usadas para o transporte de veículos,1,Controle
150,Conheciemnto Geral,Baixa,Sapos são animais que conseguem pular distâncias bem grandes,1,Controle
151,Conheciemnto Geral,Baixa,Cães são animais conhecidos por botarem ovos coloridos,0,Controle
152,Conheciemnto Geral,Baixa,O papel usado em livros é geralmente feito de metal,0,Controle
153,Conheciemnto Geral,Baixa,O Natal é uma festa celebrada para marcar o fim do verão,0,Controle
154,Conheciemnto Geral,Baixa,Todos os tipos de pássaros são completamente incapazes de voar,0,Controle
155,Conheciemnto Geral,Baixa,As abelhas são insetos conhecidos por produzir fios de seda,0,Controle
156,Conheciemnto Geral,Baixa,Cavalos em fazendas fazem o som característico de mugir,0,Controle
157,Conheciemnto Geral,Baixa,"O Ano Novo é uma festa comemorada no meio do ano, em julho",0,Controle
158,Conheciemnto Geral,Baixa,Tubarões são considerados animais terrestres que vivem em árvores,0,Controle
159,Conheciemnto Geral,Baixa,O algodão usado em roupas geralmente vem de animais peludos,0,Controle
160,Conheciemnto Geral,Baixa,A Páscoa é uma celebração que envolve o uso de fantasias assustadoras,0,Controle
161,Conheciemnto Geral,Baixa,Elefantes são grandes animais conhecidos pela sua capacidade de voar,0,Controle
162,Conheciemnto Geral,Baixa,O vidro utilizado em janelas é geralmente um material opaco,0,Controle
163,Conheciemnto Geral,Baixa,O Dia das Mães é uma data comemorada sempre no final do ano,0,Controle
164,Conheciemnto Geral,Baixa,Macacos são animais que costumam viver no fundo do mar,0,Controle
165,Conheciemnto Geral,Baixa,O sal de cozinha é conhecido por ter um sabor muito doce,0,Controle
166,Conheciemnto Geral,Baixa,O outono é a estação do ano que vem antes do verão,0,Controle
167,Conheciemnto Geral,Baixa,Pinguins são aves que preferem viver em desertos muito quentes,0,Controle
168,Conheciemnto Geral,Baixa,A borracha de pneus é um material comestível e muito saboroso,0,Controle
169,Conheciemnto Geral,Baixa,O Halloween é uma festa popular celebrada no mês de janeiro,0,Controle
170,Conheciemnto Geral,Baixa,Sapos são animais conhecidos por emitirem latidos altos,0,Controle
171,Conheciemnto Geral,Baixa,O carvão mineral é conhecido por ser muito macio e flexível,0,Controle
172,Conheciemnto Geral,Baixa,O Dia do Trabalho é um feriado celebrado usualmente em dezembro,0,Controle
173,Conheciemnto Geral,Baixa,Tigres são animais conhecidos por não possuírem listras,0,Controle
174,Conheciemnto Geral,Baixa,Gasolina de carro é um combustível extraído de plantas como a laranjeira,0,Controle
175,Conheciemnto Geral,Baixa,Zebras são facilmente reconhecidas pelas suas manchas coloridas,0,Controle
176,Conheciemnto Geral,Baixa,O mel que consumimos é um produto feito por formigas,0,Controle
177,Conheciemnto Geral,Baixa,O verão é uma estação do ano caracterizada por ser fria,0,Controle
178,Conheciemnto Geral,Baixa,Lobos são animais selvagens que preferem viver completamente solitários,0,Controle
179,Conheciemnto Geral,Baixa,A lã usada em agasalhos normalmente vem de escamas de peixes,0,Controle
180,Conheciemnto Geral,Baixa,O Dia dos Pais é uma data comemorada no início do ano,0,Controle
181,Conheciemnto Geral,Baixa,Corujas são aves que têm o hábito de dormir à noite,0,Controle
182,Conheciemnto Geral,Baixa,O papel comum dos cadernos é um material totalmente indestrutível,0,Controle
183,Conheciemnto Geral,Baixa,Aniversários de pessoas são sempre feriados nacionais para todos,0,Controle
184,Conheciemnto Geral,Baixa,Chimpanzés são animais conhecidos por construírem grandes ninhos no mar,0,Controle
185,Conheciemnto Geral,Baixa,O chocolate que comemos é um doce que vem de pedras,0,Controle
186,Conheciemnto Geral,Baixa,Os feriados nacionais ocorrem sempre em dias úteis da semana,0,Controle
187,Conheciemnto Geral,Baixa,Esquilos são roedores que conseguem nadar de forma muito rápida,0,Controle
188,Conheciemnto Geral,Baixa,As borboletas são insetos conhecidos por produzir muita cera,0,Controle
189,Conheciemnto Geral,Baixa,Leões são grandes animais que comem apenas folhas e plantas,0,Controle
190,Conheciemnto Geral,Baixa,O Natal é uma celebração comemorada tradicionalmente no mês de agosto,0,Controle
191,Conheciemnto Geral,Baixa,Todos os tipos de pássaros constroem seus ninhos no chão,0,Controle
192,Conheciemnto Geral,Baixa,Cavalos são animais que fazem o som de miar frequentemente,0,Controle
193,Conheciemnto Geral,Baixa,A abelha-rainha é a principal responsável por produzir todo o mel,0,Controle
194,Conheciemnto Geral,Baixa,Ursos polares são animais que vivem em desertos muito quentes,0,Controle
195,Conheciemnto Geral,Baixa,O açúcar refinado é conhecido por ter um sabor muito amargo,0,Controle
196,Conheciemnto Geral,Baixa,O Dia das Crianças no Brasil é comemorado em janeiro,0,Controle
197,Conheciemnto Geral,Baixa,Pinguins são aves que vivem tipicamente em selvas tropicais quentes,0,Controle
198,Conheciemnto Geral,Baixa,A borracha usada em pneus geralmente vem de animais marinhos,0,Controle
199,Conheciemnto Geral,Baixa,O Halloween é uma festa popular que ocorre em 1º de abril,0,Controle
200,Conheciemnto Geral,Baixa,Sapos são animais que emitem sons como latidos e miados,0,Controle
201,Conheciemnto Geral,Baixa,O carvão é uma substância que costuma flutuar na água como uma boia,0,Controle
202,Conheciemnto Geral,Baixa,O Dia do Trabalho é um feriado importante celebrado em agosto,0,Controle
203,Conheciemnto Geral,Baixa,Tigres são animais conhecidos por se alimentarem exclusivamente de frutas,0,Controle
204,Conheciemnto Geral,Baixa,O óleo de cozinha comum é conhecido por ser duro como pedra,0,Controle
205,Conheciemnto Geral,Baixa,"As zebras selvagens são animais completamente pretos, sem nenhuma listra",0,Controle
206,Conheciemnto Geral,Baixa,O mel adocicado é um alimento produzido naturalmente por vespas,0,Controle
207,Conheciemnto Geral,Baixa,O verão é uma estação climática chuvosa em todas as partes do mundo,0,Controle
208,Conheciemnto Geral,Baixa,Lobos selvagens vivem em tocas subterrâneas durante o ano todo,0,Controle
209,Conheciemnto Geral,Baixa,A lã macia e quente geralmente vem da pelagem de coelhos,0,Controle
210,Conheciemnto Geral,Baixa,O Dia dos Pais no Brasil é comemorado oficialmente em setembro,0,Controle
211,Conheciemnto Geral,Baixa,Chimpanzés são primatas que pertencem ao grupo das aves voadoras,0,Controle
212,Conheciemnto Geral,Baixa,O chocolate tradicional é um doce feito a partir de algas marinhas,0,Controle
213,Conheciemnto Geral,Baixa,Feriados nacionais são considerados dias úteis de trabalho normal,0,Controle
214,Conheciemnto Geral,Baixa,Girafas são conhecidas por serem animais que se movem rastejando,0,Controle
215,Conheciemnto Geral,Baixa,Sapatos confortáveis são usados principalmente para proteger bem as mãos,0,Controle
216,Conheciemnto Geral,Baixa,Pinguins são aves que vivem exclusivamente na região do Ártico,0,Controle
217,Conheciemnto Geral,Baixa,Relógios de pulso modernos são usados principalmente para cozinhar alimentos,0,Controle
218,Conheciemnto Geral,Baixa,Crocodilos são animais dóceis que comem apenas capim e folhas,0,Controle
219,Conheciemnto Geral,Baixa,O papel sulfite comum é feito utilizando vidro derretido e resfriado,0,Controle
220,Conheciemnto Geral,Baixa,Canetas esferográficas são usadas principalmente para se comer sopa quente,0,Controle
221,Conheciemnto Geral,Baixa,Peixes são animais que costumam construir seus ninhos em árvores,0,Controle
222,Conheciemnto Geral,Baixa,Galinhas poedeiras são criadas porque produzem fios de lã macia,0,Controle
223,Conheciemnto Geral,Baixa,As cobras são animais conhecidos por terem duas pequenas pernas,0,Controle
224,Conheciemnto Geral,Baixa,Aranhas domésticas são famosas porque põem ovos feitos de ouro,0,Controle
225,Conheciemnto Geral,Baixa,Borboletas adultas se locomovem principalmente rastejando pelo chão,0,Controle
226,Conheciemnto Geral,Baixa,Formigas são pequenos animais que podem atingir tamanhos gigantescos,0,Controle
227,Conheciemnto Geral,Baixa,Pássaros são conhecidos por terem uma boca cheia de pelos macios,0,Controle
228,Conheciemnto Geral,Baixa,Coelhos domésticos são animais que comem apenas pedaços de carne,0,Controle
229,Conheciemnto Geral,Baixa,Ratos comuns são pequenos animais que conseguem voar rapidamente,0,Controle
230,Conheciemnto Geral,Baixa,Gatos emitem um som alto e forte chamado coaxar,0,Controle
231,Conheciemnto Geral,Baixa,Árvores de grande porte costumam mudar de lugar durante a noite,0,Controle
232,Conheciemnto Geral,Baixa,As árvores em crescimento direcionam suas raízes sempre para baixo,0,Controle
233,Conheciemnto Geral,Baixa,Todas as flores coloridas normalmente cheiram forte a alho fresco,0,Controle
234,Conheciemnto Geral,Baixa,Cogumelos comestíveis são frutas saborosas que crescem em árvores altas,0,Controle
235,Conheciemnto Geral,Baixa,"Minhocas possuem olhos grandes, redondos e muito brilhantes",0,Controle
236,Conheciemnto Geral,Baixa,As girafas são animais conhecidos por terem orelhas bem curtas,0,Controle
237,Conheciemnto Geral,Baixa,O arroz que comemos geralmente cresce no alto de árvores altas,0,Controle
238,Conheciemnto Geral,Baixa,Os peixes são animais aquáticos que geralmente têm pelos macios,0,Controle
239,Conheciemnto Geral,Baixa,Macacos são animais aquáticos que vivem nadando em grandes rios,0,Controle
240,Conheciemnto Geral,Baixa,Abelhas são insetos que têm o hábito de comer madeira,0,Controle
241,Conheciemnto Geral,Baixa,O sol que vemos no céu é de uma cor azulada,0,Controle
242,Conheciemnto Geral,Baixa,"A água da torneira, quando aquecida, é geralmente mais quente que fogo",0,Controle
243,Conheciemnto Geral,Baixa,O fogo de uma fogueira é conhecido por ser muito gelado,0,Controle
244,Conheciemnto Geral,Baixa,Cadeiras confortáveis para sentar são geralmente feitas de nuvens,0,Controle
245,Conheciemnto Geral,Baixa,Canetas coloridas servem como ferramenta principal para regar diversas plantas,0,Controle
246,Conheciemnto Geral,Baixa,Tesouras com ponta são usadas por crianças para escovar os dentes,0,Controle
247,Conheciemnto Geral,Baixa,Lâmpadas acesas em casa funcionam melhor se estiverem totalmente molhadas,0,Controle
248,Conheciemnto Geral,Baixa,Martelos de carpinteiro são ferramentas feitas de algodão muito macio,0,Controle
249,Conheciemnto Geral,Baixa,Mesas de jantar são móveis usados para as pessoas dormirem debaixo,0,Controle
250,Conheciemnto Geral,Baixa,Copos de plástico ou vidro são usados para se calçar os pés,0,Controle
251,Conheciemnto Geral,Baixa,Livros com muitas páginas são considerados alimentos bastante comestíveis,0,Controle
252,Conheciemnto Geral,Baixa,Escadas de madeira ou metal são usadas por pessoas para mergulhar,0,Controle
253,Conheciemnto Geral,Baixa,O sabão de banho é um produto feito para endurecer a pele,0,Controle
254,Conheciemnto Geral,Baixa,Carros populares são veículos movidos exclusivamente pela força do vento,0,Controle
255,Conheciemnto Geral,Baixa,Janelas de vidro em casas são usadas para se guardar objetos,0,Controle
256,Conheciemnto Geral,Baixa,Moedas utilizadas como dinheiro são normalmente feitas de papel fino,0,Controle
257,Conheciemnto Geral,Baixa,Luvas de inverno ou de cozinha são usadas para proteger os pés,0,Controle
258,Conheciemnto Geral,Baixa,Balões de festa cheios de ar sempre afundam rapidamente na água,0,Controle
259,Conheciemnto Geral,Baixa,Chaves de metal para portas são usadas por pescadores para pescar,0,Controle
260,Conheciemnto Geral,Baixa,Espelhos comuns de banheiro tornam as coisas totalmente invisíveis,0,Controle
261,Conheciemnto Geral,Baixa,As pessoas conseguem voar alto apenas batendo os próprios braços,0,Controle
262,Conheciemnto Geral,Baixa,"O sol, nossa estrela principal, costuma nascer durante a noite escura",0,Controle
263,Conheciemnto Geral,Baixa,A sombra projetada de um objeto é sempre mais clara que a luz,0,Controle
264,Conheciemnto Geral,Baixa,As pessoas saudáveis normalmente dormem mantendo os olhos bem abertos,0,Controle
265,Conheciemnto Geral,Baixa,A maioria das pessoas costuma usar sapatos para proteger as mãos,0,Controle
266,Conheciemnto Geral,Baixa,A chuva forte de verão é água que sobe para o céu,0,Controle
267,Conheciemnto Geral,Baixa,O vento forte que sopra é sempre um fenômeno completamente silencioso,0,Controle
268,Conheciemnto Geral,Baixa,A voz humana normal é um som totalmente inaudível aos ouvidos,0,Controle
269,Conheciemnto Geral,Baixa,Bebês recém-nascidos já conseguem falar fluentemente algumas palavras,0,Controle
270,Conheciemnto Geral,Baixa,Crianças pequenas são responsáveis por construir grandes casas e edifícios,0,Controle
271,Conheciemnto Geral,Baixa,Adultos formados frequentam a escola primária todos os dias da semana,0,Controle
272,Conheciemnto Geral,Baixa,As estrelas que vemos no céu noturno têm formato de cubos,0,Controle
273,Conheciemnto Geral,Baixa,"A Lua, satélite da Terra, é um astro feito de queijo",0,Controle
274,Conheciemnto Geral,Baixa,A fumaça escura de queimadas geralmente afunda em direção ao chão,0,Controle
275,Conheciemnto Geral,Baixa,Todo tipo de barulho alto é sempre muito calmante e relaxante,0,Controle
276,Conheciemnto Geral,Baixa,Silêncio absoluto significa a presença de muitos e variados sons,0,Controle
277,Conheciemnto Geral,Baixa,"Para caminhar longas distâncias, as pessoas usam principalmente os braços",0,Controle
278,Conheciemnto Geral,Baixa,Correr longas distâncias é uma forma de exercício muito lento,0,Controle
279,Conheciemnto Geral,Baixa,O choro com muitas lágrimas geralmente expressa um sentimento de alegria,0,Controle
280,Conheciemnto Geral,Baixa,O suor que eliminamos do corpo tem um sabor adocicado,0,Controle
281,Conheciemnto Geral,Baixa,As férias de verão são um período de trabalho muito intenso,0,Controle
282,Conheciemnto Geral,Baixa,Os fins de semana no calendário geralmente têm cinco dias seguidos,0,Controle
283,Conheciemnto Geral,Baixa,Um dia completo na Terra tem a duração de dez horas,0,Controle
284,Conheciemnto Geral,Baixa,O relógio de parede ou pulso marca as diferentes estações do ano,0,Controle
285,Conheciemnto Geral,Baixa,"Anos bissextos, que ocorrem periodicamente, têm sempre menos um dia",0,Controle
286,Conheciemnto Geral,Baixa,As quatro estações do ano são idênticas em todas as partes do planeta,0,Controle
287,Conheciemnto Geral,Baixa,O tempo presente é aquele que ainda vai acontecer no futuro,0,Controle
288,Conheciemnto Geral,Baixa,O tempo passado é aquele que ainda está acontecendo neste momento,0,Controle
289,Conheciemnto Geral,Baixa,O tempo futuro é aquele que já aconteceu há muitos anos,0,Controle
