Número,Área,Complexidade,Tarefa,Condição
0,MatCon,NA,"A palavra Mar, tem mais sílabas que Peixe",0
0,MatCon,NA,"A palavra Palestra, tem menos sílabas que Lua",0
0,MatCon,NA,"A palavra Banana, tem mais sílabas que Ferramenta",0 
0,MatCon,NA,"A palavra Boneca tem a mais sílabas que Ilha",1
0,MatCon,NA,"A palavra Brilhante, tem mais sílabas que brilho",1
0,MatCon,NA,"A palavra Computador, tem mais sílabas que Tinta",1
0,MatCon,NA,"A palavra pato, tem mais sílabas que bola",0
0,MatCon,NA,"A palavra gato, tem mais sílabas que mesa",0
0,MatCon,NA,"A palavra janela, tem mais sílabas que porta",1
0,MatCon,NA,"A palavra família, tem mais sílabas que fé",1
0,MatCon,NA,"A palavra sol, tem mais sílabas que pai",0
0,MatCon,NA,"A palavra cachorro, tem mais sílabas que carro",1
0,MatCon,NA,"A palavra lasanha, tem mais sílabas que mãe",1
0,MatCon,NA,"A palavra menina, tem menos sílabas que menino",0
0,MatCon,NA,"A palavra Jabuti, tem mais sílabas que Rio",1
0,MatCon,NA,"A palavra arroz, tem menos sílabas que céu",0
0,MatCon,NA,"A palavra Morango, tem mais sílabas que Copo",1
0,MatCon,NA,"A palavra Violão, tem mais sílabas que Flor",1
0,MatCon,NA,"A palavra  Rato, tem mais sílabas que Jacaré",0
0,MatCon,NA,"A palavra Barco, tem menos sílabas que Faca ",0
0,MatCon,NA,"A palavra televisão, tem mais sílabas que rádio",1
0,MatCon,NA,"A palavra Bolacha, tem mais sílabas que Urso",1
0,MatCon,NA,"A palavra floresta, tem mais sílabas que rosa",1
0,MatCon,NA,"A palavra festejar, tem menos sílabas que limão",0
0,MatCon,NA,"A palavra Pente, tem mais sílabas que Armário",0
0,MatCon,NA,"A palavra vovó, tem menos sílabas que madrinha",1
0,MatCon,NA,"A palavra Caminhão, tem mais sílabas que Moto",1
0,MatCon,NA,"A palavra Cabelo, tem mais sílabas que unha",1
0,MatCon,NA,"A palavra COCO, tem mais sílabas que Bombom ",0
0,MatCon,NA,"A palavra Açaí, tem mais sílabas que farinha",0
0,MatCon,NA,"A palavra Academia, tem menos sílabas que Luva",0
0,MatCon,NA,"A palavra açúcar, tem menos sílabas que sal",0
0,MatCon,NA,"A palavra Chocolate, tem mais sílabas que fruta",1
0,MatCon,NA,"A palavra felicidade, tem mais sílabasque triste",1
0,MatCon,NA,"A palavra Pia, tem mais sílabas e Caneta",0
0,MatCon,NA,"A palavra Amor, tem menos sílabas que presente",1
0,MatCon,NA,"A palavra Baleia, tem menos sílabas que AGUA",0
0,MatCon,NA,"A palavra Hora, tem mais sílabas que RELÓGIO",0
0,MatCon,NA,"A palavra Melancia, tem mais sílabas que Uva",1
0,MatCon,NA,"A palavra Mochila, tem mais sílabas que Lápis",1
0,MatCon,NA,"A palavra Acerola, tem menos sílabas que Fogo",0
0,MatCon,NA,"A palavra Tapioca, tem mais silabas que ovo",1
0,MatCon,NA,"A palavra Janeiro, tem mais sílabas que Março",1
0,MatCon,NA,"A palavra Pianista, tem menos sílabas que CIFRA",0
0,MatCon,NA,"A palavra Cofre, tem mais sílabas  que Banco",0
0,MatCon,NA,"A palavra Cebola, tem mais sílabas que Alho",1
0,MatCon,NA,"A palavra estrela, tem mais sílabas que Natação",0
0,MatCon,NA,"A palavra Médico, tem mais sílabas que Arquiteto",0
0,MatCon,NA,"A palavra chave, tem mais sílabas que fechadura",0
0,MatCon,NA,"A palavra Jogo, tem mais sílabas que Luta",0
0,MatCon,NA,"A palavra Aliança, tem mais sílabas que Pipa",1
0,MatCon,NA,"A palavra Moça, tem mais sílabas que Caneca",0
0,MatCon,NA,"A palavra Janela, tem mais sílabas que Sol",1
0,MatCon,NA,"A palavra Pão, tem mais sílabas que Morango",0
0,MatCon,NA,"A palavra Roupa, tem menos sílabas que Vestido",1
0,MatCon,NA,"A palavra Ovo, tem mais sílabas que Batata",0
0,MatCon,NA,"A palavra Nuvem, tem mais sílabas que Céu",1
0,MatCon,NA,"A palavra Mel, tem menos sílabas que Floresta",1
0,MatCon,NA,"A palavra Cavalo, tem mais sílabas que Leão",1
0,MatCon,NA,"A palavra Tigre, tem menos sílabas que Borboleta",1
0,MatCon,NA,"A palavra Sapo, tem mais sílabas que Elefante",0
0,MatCon,NA,"A palavra Caminhão, tem mais sílabas que Rua",1
0,MatCon,NA,"A palavra Areia, tem mais sílabas que Padaria",0
0,MatCon,NA,"A palavra Leite, tem mais sílabas que Abacate",0
0,MatCon,NA,"A palavra Tesoura, tem mais sílabas que Dente",1
0,MatCon,NA,"A palavra Grama, tem menos sílabas que Mato",0
0,MatCon,NA,"A palavra Gelo, tem mais sílabas que Chocolate",0
0,MatCon,NA,"A palavra Casa, tem menos sílabas que Castelo",1
0,MatCon,NA,"A palavra Papel, tem mais sílabas  que Dinheiro",0
0,MatCon,NA,"A palavra Sal, tem menos sílabas que Pimenta",1
0,MatCon,NA,"A palavra Anel, tem mais sílabas que Joalheiria",0
0,MatCon,NA,"A palavra Abril, tem menos sílabas que Fevereiro",1
0,MatCon,NA,"A palavra Roda, tem mais sílabas que Volante",0
0,MatCon,NA,"A palavra Dado, tem menos sílabas que Sapato",1
0,MatCon,NA,"A palavra Chave, tem menos sílabas que Corrente",1
0,MatCon,NA,"A palavra Chão, tem mais sílabas que Cidade",0
0,MatCon,NA,"A palavra Gelado, tem mais sílabas que Frio",1
0,MatCon,NA,"A palavra Cama, tem menos sílabas que Travesseiro",1
0,MatCon,NA,"A palavra Boneco, tem mais sílabas que Bala",1
0,MatCon,NA,"A palavra Luva, tem mais sílabas que Guarda-chuva",0
0,MatCon,NA,"A palavra Laranja, tem menos sílabas que AÇAÍ",0
0,MatCon,NA,"A palavra Sorvete, tem mais sílabas que pão",1
0,MatCon,NA,"A palavra fogueira, tem menos sílabas que fogo",0
0,MatCon,NA,"A palavra Telefone, tem mais sílabas que Rádio",1
0,MatCon,NA,"A palavra Revista, tem menos sílabas que copo",0
0,MatCon,NA,"A palavra Carteira, tem mais sílabas que Bolsa",1
0,MatCon,NA,"A palavra Boca, tem mais sílabas que Relógio",0
0,MatCon,NA,"A palavra Almofada, tem mais sílabas que Tênis",1
0,MatCon,NA,"A palavra Mesa, tem mais sílabas que Tangerina",0
0,MatCon,NA,"A palavra Ninho, tem menos sílabas que Passarinho",1
0,MatCon,NA,"A palavra Zebra, tem mais sílabas que Cavalaria",0
0,MatCon,NA,"A palavra Galo, tem menos sílabas que Peixe-boi",1
0,MatCon,NA,"A palavra Caneta, tem mais sílabas que DADO",1
0,MatCon,NA,"A palavra Casamento , tem menos sílabas que anel",0
0,MatCon,NA,"A palavra Prato, tem mais sílabas que GELADEIRA",0
0,MatCon,NA,"A palavra Jornal, tem menos sílabas que Televisão",1
0,MatCon,NA,"A palavra Universidade, tem mais sílabas que Lápis",1
0,MatCon,NA,"A palavra Abacaxi, tem menos sílabas que Baú",0
0,MatCon,NA,"A palavra Cobra, tem mais sílabas que Lagarto",0
0,MatCon,NA,"A palavra Cinema, tem mais sílabas que Filme",1
0,MatCon,NA,"A palavra Brinquedo, tem mais sílabas que Bola",1
0,MatCon,NA,"A palavra Cenoura, tem menos sílabas que faca",0
0,MatCon,NA,"A palavra Estudo, tem mais sílabas que Laboratório",0
0,MatCon,NA,"A palavra Música, tem mais sílabas  que Dança",1
0,MatCon,NA,"A palavra Lente, tem menos sílabas que Construção ",1
0,MatCon,NA,"A palavra Toalha, tem mais sílabas que Pia",1
0,MatCon,NA,"A palavra Pasta, tem mais sílabas que Escritório",0
0,MatCon,NA,"A palavra Sabonete, tem mais sílabas que água",1
0,MatCon,NA,"A palavra Banheira, tem menos sílabas que Vaso",0
0,MatCon,NA,"A palavra Dente, tem mais SÍLABAS que Dentadura",0
0,MatCon,NA,"A palavra Tapete, tem mais sílabas que mesa",1
0,MatCon,NA,"A palavra Calça, tem mais sílabas que sapateiro",0
0,MatCon,NA,"A palavra Chuveiro, tem mais sílabas  que Sabão",1
0,MatCon,NA,"A palavra Tinta, tem menos sílabas que Calendário",1
0,MatCon,NA,"A palavra Garrafa, tem menos sílabas que jogo",0
0,MatCon,NA,"A palavra Mae, tem menos sílabas que Estojo",1
0,MatCon,NA,"A palavra Panela, tem menos SÍLABAS que CHÁ",0
0,MatCon,NA,"A palavra moto, tem mais sílabas que Telefone",0
0,MatCon,NA,"A palavra Salada, tem mais sílabas que Sal",1
0,MatCon,NA,"A palavra Caixa, tem mais sílabas que Gaveta",0
0,MatCon,NA,"A palavra Escadaria, tem mais sílabas que Chão",1
0,MatCon,NA,"A palavra Ave, tem mais sílabas que PINGUIM",0
0,MatCon,NA,"A palavra Bolacha, tem menos sílabas que cacau",0
0,MatCon,NA,"A palavra Casaco, tem mais sílabas que Capa",1
0,MatCon,NA,"A palavra Peixe, tem menos sílabas que Camarão",1
0,MatCon,NA,"A palavra Jardim, tem mais sílabas que Flor",1
0,MatCon,NA,"A palavra Fruta, tem menos sílabas que Verdura",1
0,MatCon,NA,"A palavra Suco, tem mais sílabas que Refrigerante",0
0,MatCon,NA,"A palavra Leão, tem menos sílabas que rato",0
0,MatCon,NA,"A palavra Lanterna, tem mais sílabas que fogo",1
0,MatCon,NA,"A palavra GARAGEM, tem menos sílabas que sala",0
0,MatCon,NA,"A palavra GIRAFA, tem mais sílabas que Pato",1
0,MatCon,NA,"A palavra TATU, tem menos SÍLABAS que Rosa",1
0,MatCon,NA,"A palavra Fantasma, tem mais sílabas que filme",1
0,MatCon,NA,"A palavra Lobo, tem menos sílabas que Papagaio",0
0,MatCon,NA,"A palavra Vaca, tem mais sílabas FORMIGA ",0
0,MatCon,NA,"A palavra CAJÚ, tem mais SÍLABAS que Acerola",0
0,MatCon,NA,"A palavra Convento, tem mais sílabas que Papa",1
0,MatCon,NA,"A palavra PERFUME, tem mais SÍLABAS que Meia",1
0,MatCon,NA,"A palavra ABAJUR, tem mais SÍLABAS que Ventilador ",0
0,MatCon,NA,"A palavra Tesoura, tem menos sílabas que Faca",0
0,MatCon,NA,"A palavra RODA, tem menos sílabas que FUTEBOL",1
0,MatCon,NA,"A palavra Tigela, tem mais sílabas que Prato",1
0,MatCon,NA,"A palavra OLIMPÍADA, tem menos sílabas que TROFÉU",0 
0,MatCon,NA,"A palavra lápis, tem mais sílabas que Cartolina",0
0,MatCon,NA,"A palavra TINTA, tem menos sílabas que Pintura",1
0,MatCon,NA,"A palavra Salgado, tem mais sílabas que BOLO",1
0,MatCon,NA,"A palavra Café, tem mais sílabas que Cereja",0
0,MatCon,NA,"A palavra Vidro, tem mais sílabas que Palmito",0
0,MatCon,NA,"A palavra Baleia, tem menos sílabas que Balão",0
0,MatCon,NA,"A palavra Montanha, tem mais sílabas que Terra",1
0,MatCon,NA,"A palavra Sombra, tem mais sílabas que Luz",1
