Número por área,Área,Complexidade,Tarefa,Condição
35,Controle,Baixa,Formigas operárias costumam andar organizadas em fileiras,1
36,Controle,Baixa,O Halloween é uma festa popular celebrada em outubro,1
37,Controle,Baixa,Sapos emitem um som característico chamado coaxar,1
38,Controle,Baixa,Tigres são felinos que possuem listras escuras na pelagem,1
39,Controle,Baixa,A África é reconhecida como um extenso continente,1
40,Controle,Baixa,Zebras são animais conhecidos por terem listras pretas e brancas,1
41,Controle,Baixa,O verão é uma estação do ano tipicamente quente,1
42,Controle,Baixa,Lobos são animais que costumam viver em matilhas,1
43,Controle,Baixa,A lã usada em roupas quentes vem de ovelhas,1
44,Controle,Baixa,O Dia do Trabalho é um feriado celebrado em maio,1
45,Controle,Baixa,Corujas são aves conhecidas por suas atividades noturnas,1
46,Controle,Baixa,O papel usado pode ser coletado e depois reciclado,1
47,Controle,Baixa,Aniversários são datas consideradas celebrações muito pessoais,1
48,Controle,Baixa,O chocolate tradicional é um doce que vem do cacau,1
49,Controle,Baixa,Feriados nacionais são geralmente estabelecidos como dias de folga,1
50,Controle,Baixa,Esquilos são roedores que costumam guardar nozes para o inverno,1
51,Controle,Baixa,Focas são animais que vivem em regiões polares e costeiras,1
52,Controle,Baixa,Existem muitos países diferentes espalhados pela superfície da Terra,1
53,Controle,Baixa,O pão caseiro é geralmente feito utilizando farinha de trigo,1
54,Controle,Baixa,Cachorros costumam latir para se comunicar ou alertar,1
55,Controle,Baixa,O ouro puro encontrado na natureza tem cor amarela,1
56,Controle,Baixa,Muitos golfinhos vivem agrupados em oceanos e mares,1
57,Controle,Baixa,Gatos demonstram contentamento quando começam a ronronar,1
58,Controle,Baixa,O carvão mineral é uma rocha de cor preta,1
59,Controle,Baixa,Cobras passam por um processo de troca de pele,1
60,Controle,Baixa,Zebras selvagens vivem em grandes planícies chamadas savanas,1
61,Controle,Baixa,Limões frescos geralmente têm um sabor bastante azedo,1
62,Controle,Baixa,A primavera é a estação que vem depois do inverno,1
63,Controle,Baixa,Alguns ursos hibernam durante os meses frios do inverno,1
64,Controle,Baixa,O algodão natural é conhecido por ser muito macio,1
65,Controle,Baixa,Aniversários são frequentemente comemorados com um bolo festivo,1
66,Controle,Baixa,O plástico aquecido pode ser facilmente moldado em formas,1
67,Controle,Baixa,Gorilas são primatas conhecidos por serem bastante fortes,1
68,Controle,Baixa,Museus de história geralmente exibem artefatos antigos e valiosos,1
69,Controle,Baixa,Esquilos são ágeis e costumam subir em árvores rapidamente,1
70,Controle,Baixa,Leões emitem um som alto e forte chamado rugido,1
71,Controle,Baixa,Patos são aves aquáticas que sabem nadar muito bem,1
72,Controle,Baixa,Formigas são conhecidas por serem insetos muito trabalhadores,1
73,Controle,Baixa,A maioria dos cachorros possui quatro patas para locomoção,1
74,Controle,Baixa,A maioria das espécies de aves põe ovos em ninhos,1
75,Controle,Baixa,As flores coloridas geralmente possuem pétalas delicadas,1
76,Controle,Baixa,As árvores se fixam no solo através de suas raízes,1
77,Controle,Baixa,Borboletas adultas são insetos que podem voar longas distâncias,1
78,Controle,Baixa,Coelhos domésticos possuem orelhas compridas e muito sensíveis,1
79,Controle,Baixa,Ovelhas são animais criados por sua lã peluda,1
80,Controle,Baixa,Muitos passarinhos constroem ninhos para proteger seus filhotes,1
81,Controle,Baixa,Vacas leiteiras são criadas para produzir o leite consumido,1
82,Controle,Baixa,Cenouras são raízes comestíveis consideradas como vegetais comuns,1
83,Controle,Baixa,Golfinhos são mamíferos marinhos conhecidos por serem inteligentes,1
84,Controle,Baixa,Minhocas são animais que geralmente vivem embaixo do solo,1
85,Controle,Baixa,Girafas são animais facilmente reconhecidas por seus pescoços longos,1
86,Controle,Baixa,O trigo moído é o principal ingrediente para fazer pão,1
87,Controle,Baixa,Muitas espécies de aranha são capazes de tecer uma teia,1
88,Controle,Baixa,Gafanhotos são insetos conhecidos por seus grandes saltos,1
89,Controle,Baixa,Morcegos são mamíferos voadores com hábitos geralmente noturnos,1
90,Controle,Baixa,O fogo aceso produz luz e é muito quente,1
91,Controle,Baixa,Chá é uma bebida que pode ser servida quente ou fria,1
92,Controle,Baixa,O ar que respiramos é normalmente invisível aos nossos olhos,1
93,Controle,Baixa,Refrigerante em garrafa geralmente borbulha bastante quando aberto,1
94,Controle,Baixa,Canetas esferográficas são comumente usadas para escrever em papel,1
95,Controle,Baixa,Tesouras escolares são usadas para cortar papel e cartolina,1
96,Controle,Baixa,Blocos de gelo retirados do congelador são muito frios,1
97,Controle,Baixa,"O vidro comum quebra facilmente, por isso é frágil",1
98,Controle,Baixa,Uma cadeira é um móvel que serve para sentar,1
99,Controle,Baixa,Copos de vidro ou plástico são usados para beber líquidos,1
100,Controle,Baixa,Livros impressos contêm muitas páginas com textos ou imagens,1
101,Controle,Baixa,Escadas fixas ou móveis servem para subir a lugares altos,1
102,Controle,Baixa,Sabão em contato com a água geralmente produz espuma,1
103,Controle,Baixa,Pneus de carro ou bicicleta são feitos de borracha resistente,1
104,Controle,Baixa,Janelas de vidro são geralmente bastante transparentes à luz,1
105,Controle,Baixa,Moedas de metal são usadas como forma de dinheiro,1
106,Controle,Baixa,Luvas de tecido ou couro são usadas para proteger as mãos,1
107,Controle,Baixa,Balões cheios de hélio podem flutuar no ar por um tempo,1
108,Controle,Baixa,Chaveiros são pequenos objetos usados para segurar um conjunto de chaves,1
109,Controle,Baixa,Espelhos planos e limpos refletem imagens com bastante nitidez,1
110,Controle,Baixa,As pessoas precisam comer alimentos para poderem viver bem,1
111,Controle,Baixa,O período do dia sempre vem antes do período da noite,1
112,Controle,Baixa,"A noite, na ausência de luz artificial, é geralmente escura",1
113,Controle,Baixa,As pessoas costumam dormir durante a noite para descansar,1
114,Controle,Baixa,A maioria das pessoas em sociedade usa algum tipo de roupa,1
115,Controle,Baixa,A chuva é formada por gotas de água que caem do céu,1
116,Controle,Baixa,O vento forte pode balançar as árvores e levantar poeira,1
117,Controle,Baixa,A voz humana é capaz de produzir uma variedade de sons,1
118,Controle,Baixa,Bebês pequenos frequentemente choram para expressar suas necessidades,1
119,Controle,Baixa,Crianças pequenas geralmente gostam muito de brincar juntas,1
120,Controle,Baixa,Muitos adultos em idade ativa trabalham em diversas profissões,1
121,Controle,Baixa,As estrelas distantes geralmente aparecem visíveis no céu à noite,1
122,Controle,Baixa,A Lua é um astro que brilha no céu noturno,1
123,Controle,Baixa,A fumaça de uma fogueira costuma subir em direção ao céu,1
124,Controle,Baixa,O barulho excessivo em cidades pode ser bastante alto,1
125,Controle,Baixa,Silêncio completo é a total ausência de qualquer som,1
126,Controle,Baixa,"Para caminhar, as pessoas utilizam principalmente as suas pernas",1
127,Controle,Baixa,Correr é uma forma de movimento geralmente mais rápida,1
128,Controle,Baixa,Um sorriso espontâneo geralmente expressa um sentimento de alegria,1
129,Controle,Baixa,As lágrimas que saem dos olhos têm sabor salgado,1
130,Controle,Baixa,As férias escolares são um período esperado de descanso,1
131,Controle,Baixa,Os fins de semana no Brasil geralmente têm dois dias,1
132,Controle,Baixa,"O dia completo, incluindo noite, normalmente tem 24 horas",1
133,Controle,Baixa,O relógio é um instrumento utilizado para marcar as horas,1
134,Controle,Baixa,Anos bissextos ocorrem a cada quatro anos e têm um dia a mais,1
135,Controle,Baixa,As quatro estações do ano se sucedem de forma cíclica,1
136,Controle,Baixa,O presente é o tempo que está acontecendo neste agora,1
137,Controle,Baixa,O passado é o tempo que já aconteceu e não volta,1
138,Controle,Baixa,O futuro é o tempo que ainda vai acontecer adiante,1
139,Controle,Baixa,Amanhã será o dia que vem logo depois de hoje,1
140,Controle,Baixa,Ontem foi o dia que veio imediatamente antes de hoje,1
141,Controle,Baixa,O Brasil é um país localizado na América do Sul,1
142,Controle,Baixa,A capital de um país é geralmente uma cidade importante,1
143,Controle,Baixa,Oceanos imensos cobrem a maior parte da superfície da Terra,1
144,Controle,Baixa,Aeroportos são grandes locais que servem para pouso de aviões,1
145,Controle,Baixa,Restaurantes são estabelecimentos comerciais que servem variadas comidas,1
146,Controle,Baixa,Hospitais bem equipados tratam de pessoas doentes ou feridas,1
147,Controle,Baixa,Escolas são instituições de ensino que educam crianças e jovens,1
148,Controle,Baixa,Livrarias são lojas especializadas que vendem diferentes tipos de livros,1
149,Controle,Baixa,Ruas e avenidas são vias usadas para o transporte de veículos,1
150,Controle,Baixa,Sapos são animais que conseguem pular distâncias bem grandes,1
151,Controle,Baixa,Cães são animais conhecidos por botarem ovos coloridos,0
152,Controle,Baixa,O papel usado em livros é geralmente feito de metal,0
153,Controle,Baixa,O Natal é uma festa celebrada para marcar o fim do verão,0
154,Controle,Baixa,Todos os tipos de pássaros são completamente incapazes de voar,0
155,Controle,Baixa,As abelhas são insetos conhecidos por produzir fios de seda,0
156,Controle,Baixa,Cavalos em fazendas fazem o som característico de mugir,0
157,Controle,Baixa,"O Ano Novo é uma festa comemorada no meio do ano, em julho",0
158,Controle,Baixa,Tubarões são considerados animais terrestres que vivem em árvores,0
159,Controle,Baixa,O algodão usado em roupas geralmente vem de animais peludos,0
160,Controle,Baixa,A Páscoa é uma celebração que envolve o uso de fantasias assustadoras,0
161,Controle,Baixa,Elefantes são grandes animais conhecidos pela sua capacidade de voar,0
162,Controle,Baixa,O vidro utilizado em janelas é geralmente um material opaco,0
163,Controle,Baixa,O Dia das Mães é uma data comemorada sempre no final do ano,0
164,Controle,Baixa,Macacos são animais que costumam viver no fundo do mar,0
165,Controle,Baixa,O sal de cozinha é conhecido por ter um sabor muito doce,0
166,Controle,Baixa,O outono é a estação do ano que vem antes do verão,0
167,Controle,Baixa,Pinguins são aves que preferem viver em desertos muito quentes,0
168,Controle,Baixa,A borracha de pneus é um material comestível e muito saboroso,0
169,Controle,Baixa,O Halloween é uma festa popular celebrada no mês de janeiro,0
170,Controle,Baixa,Sapos são animais conhecidos por emitirem latidos altos,0
171,Controle,Baixa,O carvão mineral é conhecido por ser muito macio e flexível,0
172,Controle,Baixa,O Dia do Trabalho é um feriado celebrado usualmente em dezembro,0
173,Controle,Baixa,Tigres são animais conhecidos por não possuírem listras,0
174,Controle,Baixa,Gasolina de carro é um combustível extraído de plantas como a laranjeira,0
175,Controle,Baixa,Zebras são facilmente reconhecidas pelas suas manchas coloridas,0
176,Controle,Baixa,O mel que consumimos é um produto feito por formigas,0
177,Controle,Baixa,O verão é uma estação do ano caracterizada por ser fria,0
178,Controle,Baixa,Lobos são animais selvagens que preferem viver completamente solitários,0
179,Controle,Baixa,A lã usada em agasalhos normalmente vem de escamas de peixes,0
180,Controle,Baixa,O Dia dos Pais é uma data comemorada no início do ano,0
181,Controle,Baixa,Corujas são aves que têm o hábito de dormir à noite,0
182,Controle,Baixa,O papel comum dos cadernos é um material totalmente indestrutível,0
183,Controle,Baixa,Aniversários de pessoas são sempre feriados nacionais para todos,0
184,Controle,Baixa,Chimpanzés são animais conhecidos por construírem grandes ninhos no mar,0
185,Controle,Baixa,O chocolate que comemos é um doce que vem de pedras,0
186,Controle,Baixa,Os feriados nacionais ocorrem sempre em dias úteis da semana,0
187,Controle,Baixa,Esquilos são roedores que conseguem nadar de forma muito rápida,0
188,Controle,Baixa,As borboletas são insetos conhecidos por produzir muita cera,0
189,Controle,Baixa,Leões são grandes animais que comem apenas folhas e plantas,0
190,Controle,Baixa,O Natal é uma celebração comemorada tradicionalmente no mês de agosto,0
191,Controle,Baixa,Todos os tipos de pássaros constroem seus ninhos no chão,0
192,Controle,Baixa,Cavalos são animais que fazem o som de miar frequentemente,0
193,Controle,Baixa,A abelha-rainha é a principal responsável por produzir todo o mel,0
194,Controle,Baixa,Ursos polares são animais que vivem em desertos muito quentes,0
195,Controle,Baixa,O açúcar refinado é conhecido por ter um sabor muito amargo,0
196,Controle,Baixa,O Dia das Crianças no Brasil é comemorado em janeiro,0
197,Controle,Baixa,Pinguins são aves que vivem tipicamente em selvas tropicais quentes,0
198,Controle,Baixa,A borracha usada em pneus geralmente vem de animais marinhos,0
199,Controle,Baixa,O Halloween é uma festa popular que ocorre em 1º de abril,0
200,Controle,Baixa,Sapos são animais que emitem sons como latidos e miados,0
201,Controle,Baixa,O carvão é uma substância que costuma flutuar na água como uma boia,0
202,Controle,Baixa,O Dia do Trabalho é um feriado importante celebrado em agosto,0
203,Controle,Baixa,Tigres são animais conhecidos por se alimentarem exclusivamente de frutas,0
204,Controle,Baixa,O óleo de cozinha comum é conhecido por ser duro como pedra,0
205,Controle,Baixa,"As zebras selvagens são animais completamente pretos, sem nenhuma listra",0
206,Controle,Baixa,O mel adocicado é um alimento produzido naturalmente por vespas,0
207,Controle,Baixa,O verão é uma estação climática chuvosa em todas as partes do mundo,0
208,Controle,Baixa,Lobos selvagens vivem em tocas subterrâneas durante o ano todo,0
209,Controle,Baixa,A lã macia e quente geralmente vem da pelagem de coelhos,0
210,Controle,Baixa,O Dia dos Pais no Brasil é comemorado oficialmente em setembro,0
211,Controle,Baixa,Chimpanzés são primatas que pertencem ao grupo das aves voadoras,0
212,Controle,Baixa,O chocolate tradicional é um doce feito a partir de algas marinhas,0
213,Controle,Baixa,Feriados nacionais são considerados dias úteis de trabalho normal,0
214,Controle,Baixa,Girafas são conhecidas por serem animais que se movem rastejando,0
215,Controle,Baixa,Sapatos confortáveis são usados principalmente para proteger bem as mãos,0
216,Controle,Baixa,Pinguins são aves que vivem exclusivamente na região do Ártico,0
217,Controle,Baixa,Relógios de pulso modernos são usados principalmente para cozinhar alimentos,0
218,Controle,Baixa,Crocodilos são animais dóceis que comem apenas capim e folhas,0
219,Controle,Baixa,O papel sulfite comum é feito utilizando vidro derretido e resfriado,0
220,Controle,Baixa,Canetas esferográficas são usadas principalmente para se comer sopa quente,0
221,Controle,Baixa,Peixes são animais que costumam construir seus ninhos em árvores,0
222,Controle,Baixa,Galinhas poedeiras são criadas porque produzem fios de lã macia,0
223,Controle,Baixa,As cobras são animais conhecidos por terem duas pequenas pernas,0
224,Controle,Baixa,Aranhas domésticas são famosas porque põem ovos feitos de ouro,0
225,Controle,Baixa,Borboletas adultas se locomovem principalmente rastejando pelo chão,0
226,Controle,Baixa,Formigas são pequenos animais que podem atingir tamanhos gigantescos,0
227,Controle,Baixa,Pássaros são conhecidos por terem uma boca cheia de pelos macios,0
228,Controle,Baixa,Coelhos domésticos são animais que comem apenas pedaços de carne,0
229,Controle,Baixa,Ratos comuns são pequenos animais que conseguem voar rapidamente,0
230,Controle,Baixa,Gatos emitem um som alto e forte chamado coaxar,0
231,Controle,Baixa,Árvores de grande porte costumam mudar de lugar durante a noite,0
232,Controle,Baixa,As árvores em crescimento direcionam suas raízes sempre para baixo,0
233,Controle,Baixa,Todas as flores coloridas normalmente cheiram forte a alho fresco,0
234,Controle,Baixa,Cogumelos comestíveis são frutas saborosas que crescem em árvores altas,0
235,Controle,Baixa,"Minhocas possuem olhos grandes, redondos e muito brilhantes",0
236,Controle,Baixa,As girafas são animais conhecidos por terem orelhas bem curtas,0
237,Controle,Baixa,O arroz que comemos geralmente cresce no alto de árvores altas,0
238,Controle,Baixa,Os peixes são animais aquáticos que geralmente têm pelos macios,0
239,Controle,Baixa,Macacos são animais aquáticos que vivem nadando em grandes rios,0
240,Controle,Baixa,Abelhas são insetos que têm o hábito de comer madeira,0
241,Controle,Baixa,O sol que vemos no céu é de uma cor azulada,0
242,Controle,Baixa,"A água da torneira, quando aquecida, é geralmente mais quente que fogo",0
243,Controle,Baixa,O fogo de uma fogueira é conhecido por ser muito gelado,0
244,Controle,Baixa,Cadeiras confortáveis para sentar são geralmente feitas de nuvens,0
245,Controle,Baixa,Canetas coloridas servem como ferramenta principal para regar diversas plantas,0
246,Controle,Baixa,Tesouras com ponta são usadas por crianças para escovar os dentes,0
247,Controle,Baixa,Lâmpadas acesas em casa funcionam melhor se estiverem totalmente molhadas,0
248,Controle,Baixa,Martelos de carpinteiro são ferramentas feitas de algodão muito macio,0
249,Controle,Baixa,Mesas de jantar são móveis usados para as pessoas dormirem debaixo,0
250,Controle,Baixa,Copos de plástico ou vidro são usados para se calçar os pés,0
251,Controle,Baixa,Livros com muitas páginas são considerados alimentos bastante comestíveis,0
252,Controle,Baixa,Escadas de madeira ou metal são usadas por pessoas para mergulhar,0
253,Controle,Baixa,O sabão de banho é um produto feito para endurecer a pele,0
254,Controle,Baixa,Carros populares são veículos movidos exclusivamente pela força do vento,0
255,Controle,Baixa,Janelas de vidro em casas são usadas para se guardar objetos,0
256,Controle,Baixa,Moedas utilizadas como dinheiro são normalmente feitas de papel fino,0
257,Controle,Baixa,Luvas de inverno ou de cozinha são usadas para proteger os pés,0
258,Controle,Baixa,Balões de festa cheios de ar sempre afundam rapidamente na água,0
259,Controle,Baixa,Chaves de metal para portas são usadas por pescadores para pescar,0
260,Controle,Baixa,Espelhos comuns de banheiro tornam as coisas totalmente invisíveis,0
261,Controle,Baixa,As pessoas conseguem voar alto apenas batendo os próprios braços,0
262,Controle,Baixa,"O sol, nossa estrela principal, costuma nascer durante a noite escura",0
263,Controle,Baixa,A sombra projetada de um objeto é sempre mais clara que a luz,0
264,Controle,Baixa,As pessoas saudáveis normalmente dormem mantendo os olhos bem abertos,0
265,Controle,Baixa,A maioria das pessoas costuma usar sapatos para proteger as mãos,0
266,Controle,Baixa,A chuva forte de verão é água que sobe para o céu,0
267,Controle,Baixa,O vento forte que sopra é sempre um fenômeno completamente silencioso,0
268,Controle,Baixa,A voz humana normal é um som totalmente inaudível aos ouvidos,0
269,Controle,Baixa,Bebês recém-nascidos já conseguem falar fluentemente algumas palavras,0
270,Controle,Baixa,Crianças pequenas são responsáveis por construir grandes casas e edifícios,0
271,Controle,Baixa,Adultos formados frequentam a escola primária todos os dias da semana,0
272,Controle,Baixa,As estrelas que vemos no céu noturno têm formato de cubos,0
273,Controle,Baixa,"A Lua, satélite da Terra, é um astro feito de queijo",0
274,Controle,Baixa,A fumaça escura de queimadas geralmente afunda em direção ao chão,0
275,Controle,Baixa,Todo tipo de barulho alto é sempre muito calmante e relaxante,0
276,Controle,Baixa,Silêncio absoluto significa a presença de muitos e variados sons,0
277,Controle,Baixa,"Para caminhar longas distâncias, as pessoas usam principalmente os braços",0
278,Controle,Baixa,Correr longas distâncias é uma forma de exercício muito lento,0
279,Controle,Baixa,O choro com muitas lágrimas geralmente expressa um sentimento de alegria,0
280,Controle,Baixa,O suor que eliminamos do corpo tem um sabor adocicado,0
281,Controle,Baixa,As férias de verão são um período de trabalho muito intenso,0
282,Controle,Baixa,Os fins de semana no calendário geralmente têm cinco dias seguidos,0
283,Controle,Baixa,Um dia completo na Terra tem a duração de dez horas,0
284,Controle,Baixa,O relógio de parede ou pulso marca as diferentes estações do ano,0
285,Controle,Baixa,"Anos bissextos, que ocorrem periodicamente, têm sempre menos um dia",0
286,Controle,Baixa,As quatro estações do ano são idênticas em todas as partes do planeta,0
287,Controle,Baixa,O tempo presente é aquele que ainda vai acontecer no futuro,0
288,Controle,Baixa,O tempo passado é aquele que ainda está acontecendo neste momento,0
289,Controle,Baixa,O tempo futuro é aquele que já aconteceu há muitos anos,0
290,Controle,Baixa,O dia de amanhã é o dia que veio antes de ontem,0
291,Controle,Baixa,O dia de ontem é o dia que virá depois de amanhã,0
292,Controle,Baixa,O Brasil é conhecido por ser uma pequena ilha localizada na Europa,0
293,Controle,Baixa,As capitais dos países são sempre consideradas pequenas e simples vilas,0
294,Controle,Baixa,"O Sol, nossa estrela, costuma girar em torno da Lua todos os dias",0
295,Controle,Baixa,Aeroportos modernos são locais especialmente construídos para as pessoas nadarem,0
296,Controle,Baixa,Restaurantes sofisticados são estabelecimentos que geralmente vendem carros novos,0
297,Controle,Baixa,Hospitais são grandes lugares construídos para as pessoas se divertirem,0
298,Controle,Baixa,Escolas e colégios são lugares destinados para as pessoas dormirem,0
299,Controle,Baixa,Livrarias populares são lojas especializadas que vendem muitos carros usados,0
300,Controle,Baixa,Ruas e estradas são vias usadas para se plantar grandes árvores,0
