Número por área,Eixo (SAEB),Área,Complexidade,Tarefa,Condição,Número,UID
11.0,Vida e Evolução,Biologia,Alta,"Nos ecossistemas, a energia flui entre os níveis tróficos principalmente quando um organismo consome outro na cadeia alimentar",1,,50
12.0,Vida e Evolução,Biologia,Alta,"A parede celular vegetal, rica em celulose, fornece suporte estrutural e proteção mecânica à célula contra estresses externos",1,,51
13.0,Vida e Evolução,Biologia,Alta,"Anticorpos, produzidos pelo sistema imune, ligam-se a patógenos específicos marcando-os ou neutralizando-os diretamente para eliminação",1,,52
14.0,Vida e Evolução,Biologia,Alta,A quase universalidade do código genético em seres vivos sugere uma ancestralidade comum e permite o uso de técnicas de engenharia genética,1,,53
15.0,Vida e Evolução,Biologia,Alta,A difusão é o movimento espontâneo de partículas de uma área de maior concentração para uma de menor concentração,1,,54
16.0,Vida e Evolução,Biologia,Alta,Os fungos secretam enzimas para digerir matéria orgânica fora de suas células e então absorvem os nutrientes resultantes,1,,55
17.0,Vida e Evolução,Biologia,Alta,O sistema nervoso usa impulsos elétricos em neurônios para coordenar respostas rápidas e comunicação entre diferentes partes do corpo,1,,56
18.0,Vida e Evolução,Biologia,Alta,A variabilidade genética dentro de uma população aumenta suas chances de adaptação e sobrevivência a mudanças ambientais ao longo do tempo,1,,57
19.0,Vida e Evolução,Biologia,Alta,Os vírus não possuem maquinário próprio e precisam usar a estrutura e processos das células hospedeiras para conseguir se replicar,1,,58
20.0,Vida e Evolução,Biologia,Alta,"Os ribossomos são as estruturas celulares onde ocorre a síntese de proteínas, traduzindo a informação genética contida no RNA mensageiro",1,,59
21.0,Vida e Evolução,Biologia,Alta,O núcleo celular é responsável por produzir a maior parte da energia usada pela célula,0,,60
22.0,Vida e Evolução,Biologia,Alta,A osmose é o movimento de soluto através de membrana semipermeável da menor para a maior concentração,0,,61
23.0,Vida e Evolução,Biologia,Alta,A mitose produz gametas com metade do número original de cromossomos da célula-mãe,0,,62
24.0,Vida e Evolução,Biologia,Alta,"Durante a síntese de proteínas, o DNA sai do núcleo e viaja até os ribossomos para ser traduzido",0,,63
25.0,Vida e Evolução,Biologia,Alta,"Em uma cadeia alimentar, a energia flui principalmente dos consumidores de nível superior para os produtores na base",0,,64
26.0,Vida e Evolução,Biologia,Alta,"Fósseis são formados exclusivamente a partir de partes moles de organismos antigos, como músculos e órgãos",0,,65
27.0,Vida e Evolução,Biologia,Alta,O sistema circulatório nos animais é responsável principalmente pela coordenação das respostas rápidas a estímulos externos,0,,66
28.0,Vida e Evolução,Biologia,Alta,Mutações genéticas sempre causam doenças graves e são prejudiciais para o organismo que as possui,0,,67
29.0,Vida e Evolução,Biologia,Alta,Bactérias são organismos multicelulares complexos que obtêm energia exclusivamente através da fotossíntese,0,,68
30.0,Vida e Evolução,Biologia,Alta,Lipídios servem principalmente como fonte imediata de energia para as células vivas,0,,69
31.0,Vida e Evolução,Biologia,Alta,"A clonagem cria um organismo geneticamente idêntico, mas apenas se for de uma espécie completamente diferente",0,,70
32.0,Vida e Evolução,Biologia,Alta,O processo de respiração celular ocorre exclusivamente nos cloroplastos das células vegetais,0,,71
33.0,Vida e Evolução,Biologia,Alta,Anticorpos funcionam diretamente destruindo fisicamente os patógenos assim que os encontram,0,,72
34.0,Vida e Evolução,Biologia,Alta,Toda a informação genética em uma célula é encontrada exclusivamente nos cromossomos localizados dentro do núcleo,0,,73
35.0,Vida e Evolução,Biologia,Alta,"Em um ecossistema, os decompositores transferem energia diretamente de volta para os produtores",0,,74
36.0,Vida e Evolução,Biologia,Alta,"A digestão ocorre apenas dentro das células nos organismos multicelulares, como nos humanos",0,,75
37.0,Vida e Evolução,Biologia,Alta,Vírus são considerados seres vivos complexos pois realizam metabolismo próprio e reproduzem-se independentemente,0,,76
38.0,Vida e Evolução,Biologia,Alta,O principal papel do sistema endócrino é coordenar respostas musculares rápidas a estímulos externos,0,,77
39.0,Vida e Evolução,Biologia,Alta,A variabilidade genética dentro de uma população prejudica sua capacidade de adaptação a mudanças ambientais,0,,78
40.0,Vida e Evolução,Biologia,Alta,Plantas obtêm a maior parte de sua massa seca absorvendo diretamente nutrientes minerais e água do solo,0,,79
1.0,Terra e universo,Física,Alta,A rotação terrestre explica o ciclo diurno-noturno pela exposição solar de diferentes partes do planeta,1,,80
2.0,Terra e universo,Física,Alta,A inclinação do eixo terrestre e a translação geram estações inversas devido à incidência solar variada,1,,81
3.0,Terra e universo,Física,Alta,"Posições relativas de Sol, Terra e Lua definem as fases lunares visíveis pela área iluminada",1,,82
4.0,Terra e universo,Física,Alta,"A gravidade da Lua e do Sol causa as marés, influenciando variações como sizígia e quadratura",1,,83
5.0,Terra e universo,Física,Alta,"A gravidade solar mantém órbitas planetárias elípticas, e a velocidade varia conforme a distância ao Sol",1,,84
6.0,Terra e universo,Física,Alta,Telescópios refratores e refletores funcionam diferentemente para focar luz em objetos distantes,1,,85
7.0,Terra e universo,Física,Alta,"Radiação solar impulsiona o ciclo da água e fotossíntese, conectando processos climáticos à vida terrestre",1,,86
8.0,Terra e universo,Física,Alta,"A cor da estrela indica sua temperatura: azuis são mais quentes, vermelhas são mais frias",1,,87
9.0,Terra e universo,Física,Alta,"Eclipses solar e lunar dependem da posição relativa de Sol, Terra e Lua",1,,88
10.0,Terra e universo,Física,Alta,"Gases estufa retêm calor na atmosfera, mantendo a temperatura terrestre; sem eles, o planeta seria gelado",1,,89
11.0,Terra e universo,Física,Alta,"Pressão atmosférica planetária depende da massa, composição gasosa e gravidade, determinando sua densidade",1,,90
12.0,Terra e universo,Física,Alta,"Ver estrelas distantes é ver o passado, pois a luz viaja por vastas distâncias cósmicas",1,,91
13.0,Terra e universo,Física,Alta,Faixas do espectro eletromagnético revelam informações distintas sobre objetos celestes conforme o tipo de observação,1,,92
14.0,Terra e universo,Física,Alta,"Foguetes movem-se no vácuo pelo princípio de ação e reação, expelindo massa para impulso",1,,93
15.0,Terra e universo,Física,Alta,"Supernovas resultam de fusão nuclear em estrelas massivas, liberando energia e criando elementos pesados",1,,94
16.0,Terra e universo,Física,Alta,"Ano-luz é medida prática para galáxias, pois a luz viaja vastas distâncias no espaço",1,,95
17.0,Terra e universo,Física,Alta,"O som é uma onda mecânica que se propaga no ar, mas não no vácuo por falta de meio material",1,,96
18.0,Terra e universo,Física,Alta,Os astronautas em órbita sentem ausência de peso devido à queda livre contínua ao redor da Terra,1,,97
19.0,Terra e universo,Física,Alta,O estilingue gravitacional usa a gravidade planetária para alterar velocidade e trajetória de naves espaciais,1,,98
20.0,Terra e universo,Física,Alta,"Radiação solar transfere energia para a Terra, impulsionando processos climáticos e a vida no planeta",1,,99
21.0,Terra e universo,Física,Alta,"As estações dependem da distância Terra-Sol, com órbitas elípticas explicando as mudanças climáticas",0,,100
22.0,Terra e universo,Física,Alta,O ciclo dia e noite na Terra é causado pela translação anual do planeta ao redor do Sol,0,,101
23.0,Terra e universo,Física,Alta,"As fases lunares resultam da sombra terrestre na Lua, que desaparece na fase Nova",0,,102
24.0,Terra e universo,Física,Alta,"As marés oceânicas são causadas principalmente pelo Sol, o que explica marés altas na quadratura",0,,103
25.0,Terra e universo,Física,Alta,A força gravitacional aumenta com o quadrado da distância entre objetos e também com suas massas,0,,104
26.0,Terra e universo,Física,Alta,"A luz de estrelas distantes chega instantaneamente, mostrando o universo exatamente como ele é agora",0,,105
27.0,Terra e universo,Física,Alta,"A energia solar chega por ondas sonoras no vácuo, pois a luz não se propaga no espaço",0,,106
28.0,Terra e universo,Física,Alta,"As estrelas mais brilhantes são sempre maiores e mais quentes, pois luminosidade depende só de tamanho e temperatura",0,,107
29.0,Terra e universo,Física,Alta,"A expansão do universo move galáxias umas em direção às outras, causando colisões gerais futuras",0,,108
30.0,Terra e universo,Física,Alta,"Os gases estufa bloqueiam todo o calor terrestre, impedindo seu escape e causando aquecimento ilimitado",0,,109
31.0,Terra e universo,Física,Alta,Os planetas mantêm órbitas circulares perfeitas devido a um impulso constante que anula a gravidade solar,0,,110
32.0,Terra e universo,Física,Alta,"Um eclipse lunar ocorre quando a Lua passa entre Sol e Terra, bloqueando a luz solar",0,,111
33.0,Terra e universo,Física,Alta,"A pressão atmosférica aumenta com a altitude, pois o ar fica mais denso em grandes alturas",0,,112
34.0,Terra e universo,Física,Alta,"A luz viaja mais rápido no ar que no vácuo, pois as partículas a impulsionam",0,,113
35.0,Terra e universo,Física,Alta,"As ondas de rádio têm mais energia por fóton que raios gama, por isso raios gama são menos perigosos",0,,114
36.0,Terra e universo,Física,Alta,"Os foguetes movem-se no vácuo empurrando o ar atrás, sem ar não há propulsão",0,,115
37.0,Terra e universo,Física,Alta,"Em colisões planetárias, energia é destruída, pois a Conservação não se aplica em grande escala",0,,116
38.0,Terra e universo,Física,Alta,"as unidade 'AU' são ideais para medir distâncias entre estrelas e galáxias, pois o ano-luz é muito pequeno",0,,117
39.0,Terra e universo,Física,Alta,"O som viaja mais rápido no vácuo que na atmosfera, sem resistência de partículas",0,,118
40.0,Terra e universo,Física,Alta,Os astronautas em órbita sentem ausência de peso por estarem fora do alcance da gravidade terrestre,0,,119
1.0,Matéria e energia,Química,Baixa,A água pura ferve a 100°C ao nível do mar,1,,120
2.0,Matéria e energia,Química,Baixa,"O átomo é constituído por prótons, elétrons e nêutrons",1,,121
3.0,Matéria e energia,Química,Baixa,Uma mistura homogênia possui uma única fase,1,,122
4.0,Matéria e energia,Química,Baixa,O oxigênio é necessário para a combustão,1,,123
5.0,Matéria e energia,Química,Baixa,"A água pode ser encontrada em estado sólido, líquido e gasoso",1,,124
6.0,Matéria e energia,Química,Baixa,O limão contém substâncias ácidas,1,,125
7.0,Matéria e energia,Química,Baixa,A luz é considerada uma forma de energia,1,,126
8.0,Matéria e energia,Química,Baixa,Podemos separar misturas usando métodos como filtração,1,,127
9.0,Matéria e energia,Química,Baixa,A temperatura mostra se as partículas estão mais rápidas ou lentas,1,,128
10.0,Matéria e energia,Química,Baixa,O calor sempre vai de um lugar mais quente para um lugar mais frio,1,,129
11.0,Matéria e energia,Química,Baixa,O ouro é um elemento químico,1,,130
12.0,Matéria e energia,Química,Baixa,A ar que respiramos é uma mistura de diferentes gases,1,,131
13.0,Matéria e energia,Química,Baixa,Uma parte do ar que respiramos é oxigênio,1,,132
14.0,Matéria e energia,Química,Baixa,"O calor pode passar tocando, pelo ar ou pela luz",1,,133
15.0,Matéria e energia,Química,Baixa,Os metais são bons condutores de eletricidade,1,,134
16.0,Matéria e energia,Química,Baixa,Metais conduzem eletricidade melhor que madeira,1,,135
17.0,Matéria e energia,Química,Baixa,"A energia muda de forma, mas nunca desaparece",1,,136
18.0,Matéria e energia,Química,Baixa,Os metais não conseguem passar o calor facilmente,1,,137
19.0,Matéria e energia,Química,Baixa,"Quanto mais tempo a água ferve, mais quente ela fica",1,,138
20.0,Matéria e energia,Química,Baixa,Tudo o que existe é feito de pequenas partículas chamadas átomos,1,,139
21.0,Matéria e energia,Química,Baixa,A água só existe no estado líquido na Terra,0,,140
22.0,Matéria e energia,Química,Baixa,O sal de cozinha é insolúvel em água,0,,141
23.0,Matéria e energia,Química,Baixa,"Quando as partículas do ar esquentam, param de se mexer",0,,142
24.0,Matéria e energia,Química,Baixa,A água é um péssimo solvente,0,,143
25.0,Matéria e energia,Química,Baixa,A eletricidade só existe quando vemos faíscas ou raios,0,,144
26.0,Matéria e energia,Química,Baixa,O calor é uma coisa que entra e sai dos corpos como um líquido,0,,145
27.0,Matéria e energia,Química,Baixa,A eletricidade vem do movimento dos nêutrons nos fios,0,,146
28.0,Matéria e energia,Química,Baixa,Partículas com cargas opostas se repelem,0,,147
29.0,Matéria e energia,Química,Baixa,A fusão é a passagemda matéria do estado líquido para o gasoso,0,,148
30.0,Matéria e energia,Química,Baixa,O frio é um tipo de energia que entra nos corpos quentes,0,,149
31.0,Matéria e energia,Química,Baixa,Misturas heterogênias apresentam uma única fase,0,,150
32.0,Matéria e energia,Química,Baixa,"Os gáses têm forma própria, igual a uma pedra",0,,151
33.0,Matéria e energia,Química,Baixa,O ferro é um não-metal,0,,152
34.0,Matéria e energia,Química,Baixa,Todos os materiais conduzem eletricidade,0,,153
35.0,Matéria e energia,Química,Baixa,A água ferve e congela na mesma temperatura,0,,154
36.0,Matéria e energia,Química,Baixa,A água é um composto orgânico,0,,155
37.0,Matéria e energia,Química,Baixa,Os elétrons são partículas com carga neutra,0,,156
38.0,Matéria e energia,Química,Baixa,Os nêutrons são partículas com carga positiva,0,,157
39.0,Matéria e energia,Química,Baixa,Os prótons são partículas com carga negativa,0,,158
40.0,Matéria e energia,Química,Baixa,O oxigênio não é essencial para a combustão,0,,159
1.0,Vida e Evolução,Biologia,Baixa,As plantas precisam de luz solar para realizarem a fotossíntese,1,,160
2.0,Vida e Evolução,Biologia,Baixa,O sangue humano em condições saudáveis é vermelho,1,,161
3.0,Vida e Evolução,Biologia,Baixa,A respiração celular ocorre dentro das mitocôndrias,1,,162
4.0,Vida e Evolução,Biologia,Baixa,O ferro é um metal encontrado no sangue humano,1,,163
5.0,Vida e Evolução,Biologia,Baixa,Todos os répteis são animais de sangue frio,1,,164
6.0,Vida e Evolução,Biologia,Baixa,Os mamíferos possuem glândulas mamárias,1,,165
7.0,Vida e Evolução,Biologia,Baixa,As plantas são seres vivos,1,,166
8.0,Vida e Evolução,Biologia,Baixa,"Os seres vivos nascem, crescem e morrem",1,,167
9.0,Vida e Evolução,Biologia,Baixa,O DNA carrega as informações genéticas dos seres vivos,1,,168
10.0,Vida e Evolução,Biologia,Baixa,Os seres vivos são formados por pequenas unidades chamadas células,1,,169
11.0,Vida e Evolução,Biologia,Baixa,A clorofila é o pigmento responsável pela cor verde das plantas,1,,170
12.0,Vida e Evolução,Biologia,Baixa,Os fungos se alimentam por absorção de nutrientes do ambiente,1,,171
13.0,Vida e Evolução,Biologia,Baixa,A pele é o maior órgão do corpo humano,1,,172
14.0,Vida e Evolução,Biologia,Baixa,Alguns animais se alimentam apenas de plantas,1,,173
15.0,Vida e Evolução,Biologia,Baixa,Os peixes respiram principalmente por meio de brânquias,1,,174
16.0,Vida e Evolução,Biologia,Baixa,Os anticorpos são produzidos pelo sistema imunológico e combater invasores,1,,175
17.0,Vida e Evolução,Biologia,Baixa,O pâncreas é responsável pela produção do hormônio chamado insulina,1,,176
18.0,Vida e Evolução,Biologia,Baixa,A fotossíntese libera oxigênio como subproduto,1,,177
19.0,Vida e Evolução,Biologia,Baixa,A hemoglobina é a proteína do sangue que transporta de oxigênio,1,,178
20.0,Vida e Evolução,Biologia,Baixa,As bactérias podem ser encontradas quase em todos os ambientes da Terra,1,,179
21.0,Vida e Evolução,Biologia,Baixa,As plantas absorvem nutrientes diretamente do ar,0,,180
22.0,Vida e Evolução,Biologia,Baixa,O coração humano é responsável pela produção de oxigênio,0,,181
23.0,Vida e Evolução,Biologia,Baixa,Plantas conseguem andar de um lugar para outro sozinhas,0,,182
24.0,Vida e Evolução,Biologia,Baixa,A fotossíntese ocorre nas raízes das plantas,0,,183
25.0,Vida e Evolução,Biologia,Baixa,Os insetos respiram pelos pulmões,0,,184
26.0,Vida e Evolução,Biologia,Baixa,O cérebro fica guardado dentro do peito,0,,185
27.0,Vida e Evolução,Biologia,Baixa,Os mamíferos botam ovos como regra geral,0,,186
28.0,Vida e Evolução,Biologia,Baixa,A hemoglobina é encontrada apenas nos músculos,0,,187
29.0,Vida e Evolução,Biologia,Baixa,As algas precisam de solo fértil para sobreviver,0,,188
30.0,Vida e Evolução,Biologia,Baixa,As células vegetais não possuem mitocôndrias,0,,189
31.0,Vida e Evolução,Biologia,Baixa,As células procariontes possuem núcleo definido,0,,190
32.0,Vida e Evolução,Biologia,Baixa,As folhas das plantas crescem debaixo da terra,0,,191
33.0,Vida e Evolução,Biologia,Baixa,Os peixes têm pelos macios igual a um gato,0,,192
34.0,Vida e Evolução,Biologia,Baixa,Os pulmões têm como principal função bombear sangue,0,,193
35.0,Vida e Evolução,Biologia,Baixa,Pedras e rochas são tipos de animais que não se mexem,0,,194
36.0,Vida e Evolução,Biologia,Baixa,Maioria das aves são incapazes de voar,0,,195
37.0,Vida e Evolução,Biologia,Baixa,Os seres humanos possuem dois corações,0,,196
38.0,Vida e Evolução,Biologia,Baixa,Os ouvidos são utilizados para enxergar coisas,0,,197
39.0,Vida e Evolução,Biologia,Baixa,O estômago é responsável pelos pensamentos,0,,198
40.0,Vida e Evolução,Biologia,Baixa,Sentimos o gosto das coisas com os dentes,0,,199
1.0,Terra e universo,Física,Baixa,A Terra tem o formato parecido com uma esfera,1,,200
2.0,Terra e universo,Física,Baixa,O Sol é o centro do nosso Sistema Solar,1,,201
3.0,Terra e universo,Física,Baixa,A Lua recebe luz do Sol,1,,202
4.0,Terra e universo,Física,Baixa,A Terra completa um giro em torno de si mesma em cerca de um dia,1,,203
5.0,Terra e universo,Física,Baixa,A sequência de dia e noite acontece porque a Terra gira,1,,204
6.0,Terra e universo,Física,Baixa,A Terra se move em volta do Sol,1,,205
7.0,Terra e universo,Física,Baixa,Leva um ano para a Terra dar a volta completa no Sol,1,,206
8.0,Terra e universo,Física,Baixa,As estrelas que vemos no céu são sóis distantes,1,,207
9.0,Terra e universo,Física,Baixa,Os planetas se movem em órbitas ao redor do Sol,1,,208
10.0,Terra e universo,Física,Baixa,A gravidade da Terra nos mantém com os pés no chão,1,,209
11.0,Terra e universo,Física,Baixa,"O Sistema Solar inclui planetas, luas e o Sol",1,,210
12.0,Terra e universo,Física,Baixa,Um eclipse solar acontece quando a Lua fica entre o Sol e a Terra,1,,211
13.0,Terra e universo,Física,Baixa,"Durante a noite, é possível ver muitas estrelas no céu escuro",1,,212
14.0,Terra e universo,Física,Baixa,A Terra tem um tamanho maior do que a Lua,1,,213
15.0,Terra e universo,Física,Baixa,A luz de estrelas muito distantes demoram mais para chegar até nós,1,,214
16.0,Terra e universo,Física,Baixa,A Terra tem um campo magnético próprio,1,,215
17.0,Terra e universo,Física,Baixa,Existem estrelas de tamanhos e cores diferentes no universo,1,,216
18.0,Terra e universo,Física,Baixa,A inclinação da Terra ajuda a causar as estações do ano,1,,217
19.0,Terra e universo,Física,Baixa,Nosso Sol faz parte de uma galáxia com muitas estrelas,1,,218
20.0,Terra e universo,Física,Baixa,A luz do Sol leva alguns minutos para chegar na Terra,1,,219
21.0,Terra e universo,Física,Baixa,O Sol gira em volta da Terra,0,,220
22.0,Terra e universo,Física,Baixa,As Estrelas cadentes são estrelas se movendo rápido,0,,221
23.0,Terra e universo,Física,Baixa,As estrelas estão todas à mesma distância da Terra,0,,222
24.0,Terra e universo,Física,Baixa,Os planetas produzem a própria luz,0,,223
25.0,Terra e universo,Física,Baixa,Não existe gravidade no vazio do espaço,0,,224
26.0,Terra e universo,Física,Baixa,O Sol e a Lua têm o mesmo tamanho real,0,,225
27.0,Terra e universo,Física,Baixa,A Terra se move em linha reta pelo espaço,0,,226
28.0,Terra e universo,Física,Baixa,A gravidade só funciona onde tem ar,0,,227
29.0,Terra e universo,Física,Baixa,As estrelas são feitas de água,0,,228
30.0,Terra e universo,Física,Baixa,Podemos ver buracos negros facilmente no céu,0,,229
31.0,Terra e universo,Física,Baixa,Cometas são apenas pedras grandes,0,,230
32.0,Terra e universo,Física,Baixa,O céu é azul porque reflete a cor do mar,0,,231
33.0,Terra e universo,Física,Baixa,O planeta Terra é plano,0,,232
34.0,Terra e universo,Física,Baixa,A gravidade na Lua é mais forte que na Terra,0,,233
35.0,Terra e universo,Física,Baixa,As marés só acontecem por causa do vento,0,,234
36.0,Terra e universo,Física,Baixa,A luz viaja devagar no vazio do espaço,0,,235
37.0,Terra e universo,Física,Baixa,Todos os planetas têm ar como a terra,0,,236
38.0,Terra e universo,Física,Baixa,Os dias têm a mesma duração em qualquer planeta,0,,237
39.0,Terra e universo,Física,Baixa,A superfície da Lua é cheia de rios e árvores,0,,238
40.0,Terra e universo,Física,Baixa,Marte é um planeta de cor azul,0,,239
1.0,,Controle,Baixa,Um ano normalmente é composto por doze meses,1,,240
2.0,,Controle,Baixa,Cavalos são frequentemente usados para a prática de montaria,1,,241
3.0,,Controle,Baixa,Cubos de gelo são comumente usados para gelar bebidas,1,,242
4.0,,Controle,Baixa,Abelhas usam néctar de flores para fazer mel,1,,243
5.0,,Controle,Baixa,O sol geralmente aparece no céu pela manhã,1,,244
6.0,,Controle,Baixa,Uma semana é um período que tem sete dias,1,,245
7.0,,Controle,Baixa,A cor do céu limpo durante o dia é azul,1,,246
8.0,,Controle,Baixa,Gatos domésticos miam para interagir com pessoas,1,,247
9.0,,Controle,Baixa,Anéis de casamento são frequentemente feitos de ouro puro,1,,248
10.0,,Controle,Baixa,O Natal é uma festa comemorada no mês de dezembro,1,,249
11.0,,Controle,Baixa,Muitos pássaros usam as suas asas para poder voar,1,,250
12.0,,Controle,Baixa,O açúcar é conhecido por ter um sabor doce,1,,251
13.0,,Controle,Baixa,O inverno é uma estação do ano geralmente fria,1,,252
14.0,,Controle,Baixa,Elefantes são conhecidos como animais terrestres muito grandes,1,,253
