Número por área,Área,Complexidade,Tarefa,Condição
0,Matemática,Baixa,"4 sobre 7 é maior que 6 sobre 7",0
0,Matemática,Baixa,"3 sobre 10 é maior que 7 sobre 10",0
0,Matemática,Baixa,"5 sobre 7 é menor que 6 sobre 7",1
0,Matemática,Baixa,"2 sobre 4 é menor que 1 sobre 4",0
0,Matemática,Baixa,"6 sobre 6 é maior que 5 sobre 6",1
0,Matemática,Baixa,"3 sobre 6 é maior que 5 sobre 6",0
0,Matemática,Baixa,"2 sobre 2 é maior que 1 sobre 2",1
0,Matemática,Baixa,"3 sobre 8 é maior que 7 sobre 8",0
0,Matemática,Baixa,"4 sobre 9 é maior que 3 sobre 9",1
0,Matemática,Baixa,"1 sobre 5 é maior que 3 sobre 5",0
0,Matemática,Baixa,"5 sobre 10 é menor que 7 sobre 10",1
0,Matemática,Baixa,"4 sobre 8 é maior que 6 sobre 8",0
0,Matemática,Baixa,"2 sobre 3 é menor que 3 sobre 3",1
0,Matemática,Baixa,"6 sobre 9 é maior que 5 sobre 9",1
0,Matemática,Baixa,"3 sobre 7 menor que 5 sobre 7",1
0,Matemática,Baixa,"1 sobre 6 maior que 2 sobre 6",0
0,Matemática,Baixa,"7 sobre 10 é maior que 9 sobre 10",0
0,Matemática,Baixa,"4 sobre 6 é maior que 2 sobre 6",1
