Número por área,Eixo (SAEB),Área,Complexidade,Tarefa,Condição
33,Matéria e energia,Química,Baixa,O ferro é um não-metal,0
34,Matéria e energia,Química,Baixa,Todos os materiais conduzem eletricidade,0
35,Matéria e energia,Química,Baixa,A água ferve e congela na mesma temperatura,0
36,Matéria e energia,Química,Baixa,A água é um composto orgânico,0
37,Matéria e energia,Química,Baixa,Os elétrons são partículas com carga neutra,0
38,Matéria e energia,Química,Baixa,Os nêutrons são  árticulas com carga positiva,0
39,Matéria e energia,Química,Baixa,Os prótons são partículas com carga negativa,0
40,Matéria e energia,Química,Baixa,O oxigênio não é essencial para a combustão,0
1,Vida e Evolução,Biologia,Baixa,As plantas  precisam de luz solar para realizarem a fotossíntese,1
2,Vida e Evolução,Biologia,Baixa,O sangue humano  em condições saudáveis é vermelho,1
3,Vida e Evolução,Biologia,Baixa,A respiração celular ocorre dentro das mitocôndrias. ,1
4,Vida e Evolução,Biologia,Baixa,O ferro é um metal encontrado no sangue humano. ,1
5,Vida e Evolução,Biologia,Baixa,Todos os répteis são animais de sangue frio. ,1
6,Vida e Evolução,Biologia,Baixa,Os mamíferos possuem glândulas mamárias,1
7,Vida e Evolução,Biologia,Baixa,As plantas são seres vivos,1
8,Vida e Evolução,Biologia,Baixa,"Os seres vivos nascem, crescem e morrem",1
9,Vida e Evolução,Biologia,Baixa,O DNA carrega as informações genéticas dos seres vivos,1
10,Vida e Evolução,Biologia,Baixa,Os seres vivos são formados por pequenas unidades chamadas células,1
11,Vida e Evolução,Biologia,Baixa,A clorofila é o pigmento responsável pela cor verde das plantas,1
12,Vida e Evolução,Biologia,Baixa,Os fungos se alimentam por absorção de nutrientes do ambiente,1
13,Vida e Evolução,Biologia,Baixa,A pele é o maior órgão do corpo humano,1
14,Vida e Evolução,Biologia,Baixa,Alguns animais se alimentam apenas de plantas,1
15,Vida e Evolução,Biologia,Baixa,Os peixes respiram principalmente por meio de brânquias,1
16,Vida e Evolução,Biologia,Baixa,Os anticorpos são produzidos pelo sistema imunológico  e ombater invasores,1
17,Vida e Evolução,Biologia,Baixa,O pâncreas é responsável pela produção  do hormônio chamado insulina,1
18,Vida e Evolução,Biologia,Baixa,A fotossíntese libera oxigênio como subproduto,1
19,Vida e Evolução,Biologia,Baixa,A hemoglobina é a proteína do sangue que  transporta de oxigênio,1
20,Vida e Evolução,Biologia,Baixa,As bactérias podem ser encontradas quase em todos os ambientes da Terra,1
21,Vida e Evolução,Biologia,Baixa,As plantas absorvem nutrientes diretamente do ar,0
22,Vida e Evolução,Biologia,Baixa,O coração humano é responsável pela produção de oxigênio,0
23,Vida e Evolução,Biologia,Baixa,Plantas conseguem andar de um lugar para outro sozinhas,0
24,Vida e Evolução,Biologia,Baixa,A fotossíntese ocorre nas raízes das plantas,0
25,Vida e Evolução,Biologia,Baixa,Os insetos respiram pelos pulmões,0
26,Vida e Evolução,Biologia,Baixa,O cérebro fica guardado dentro do peito,0
27,Vida e Evolução,Biologia,Baixa,Os mamíferos botam ovos como regra geral,0
28,Vida e Evolução,Biologia,Baixa,A hemoglobina é encontrada apenas nos músculos,0
29,Vida e Evolução,Biologia,Baixa,As algas precisam de solo fértil para sobreviver,0
30,Vida e Evolução,Biologia,Baixa,As células vegetais não possuem mitocôndrias,0
31,Vida e Evolução,Biologia,Baixa,As células procariontes possuem núcleo definido,0
32,Vida e Evolução,Biologia,Baixa,As folhas das plantas crescem debaixo da terra,0
33,Vida e Evolução,Biologia,Baixa,Peixes têm pelos macios igual a um gato,0
34,Vida e Evolução,Biologia,Baixa,Os pulmões têm como principal função bombear sangue,0
35,Vida e Evolução,Biologia,Baixa,Pedras e rochas são tipos de animais que não se mexem,0
36,Vida e Evolução,Biologia,Baixa,Maioria das aves são incapazes de voar,0
37,Vida e Evolução,Biologia,Baixa,Os seres humanos possuem dois corações,0
38,Vida e Evolução,Biologia,Baixa,Os ouvidos são utilizados para enxergar coisas,0
39,Vida e Evolução,Biologia,Baixa,O estômago é responsável pelos pensamentos,0
40,Vida e Evolução,Biologia,Baixa,Sentimos o gosto das coisas com os dentes,0
1,Terra e universo,Física,Baixa,A Terra tem o formato parecido com uma esfera,1
2,Terra e universo,Física,Baixa,O Sol é o centro do nosso Sistema Solar,1
3,Terra e universo,Física,Baixa,A Lua recebe luz do Sol,1
4,Terra e universo,Física,Baixa,A Terra completa um giro em torno de si mesma em cerca de um dia,1
5,Terra e universo,Física,Baixa,A sequência de dia e noite acontece porque a Terra gira,1
6,Terra e universo,Física,Baixa,A Terra se move em volta do Sol,1
7,Terra e universo,Física,Baixa,Leva um ano para a Terra dar a volta completa no Sol,1
8,Terra e universo,Física,Baixa,As estrelas que vemos no céu são sóis distantes,1
9,Terra e universo,Física,Baixa,Os planetas se movem em órbitas ao redor do Sol,1
10,Terra e universo,Física,Baixa,A gravidade da Terra nos mantém com os pés no chão,1
11,Terra e universo,Física,Baixa,"O Sistema Solar inclui planetas, luas e o Sol",1
12,Terra e universo,Física,Baixa,Um eclipse solar acontece quando a Lua fica entre o Sol e a Terra,1
13,Terra e universo,Física,Baixa,"Durante a noite, é possível ver muitas estrelas no céu escuro",1
14,Terra e universo,Física,Baixa,A Terra tem um tamanho maior do que a Lua,1
15,Terra e universo,Física,Baixa,A luz de estrelas muito distantes demoram mais para chegar até nós,1
16,Terra e universo,Física,Baixa,A Terra tem um campo magnético próprio,1
17,Terra e universo,Física,Baixa,Existem estrelas de tamanhos e cores diferentes no universo,1
18,Terra e universo,Física,Baixa,A inclinação da Terra ajuda a causar as estações do ano,1
19,Terra e universo,Física,Baixa,Nosso Sol faz parte de uma galáxia com muitas estrelas,1
20,Terra e universo,Física,Baixa,A luz do Sol leva alguns minutos para chegar na Terra,1
21,Terra e universo,Física,Baixa,O Sol gira em volta da Terra,0
22,Terra e universo,Física,Baixa,Estrelas cadentes são estrelas se movendo rápido,0
23,Terra e universo,Física,Baixa,As estrelas estão todas à mesma distância da Terra,0
24,Terra e universo,Física,Baixa,Os planetas produzem a própria luz,0
25,Terra e universo,Física,Baixa,Não existe gravidade no vazio do  espaço,0
26,Terra e universo,Física,Baixa,O Sol e a Lua têm o mesmo tamanho real,0
27,Terra e universo,Física,Baixa,A Terra se move em linha reta pelo espaço,0
28,Terra e universo,Física,Baixa,A gravidade só funciona onde tem ar,0
29,Terra e universo,Física,Baixa,As estrelas são feitas de água,0
30,Terra e universo,Física,Baixa,Podemos ver buracos negros facilmente no céu,0
31,Terra e universo,Física,Baixa,Cometas são apenas pedras grandes,0
32,Terra e universo,Física,Baixa,O céu é azul porque reflete a cor do mar,0
33,Terra e universo,Física,Baixa,O planeta  Terra é plano,0
34,Terra e universo,Física,Baixa,A gravidade na Lua é mais forte que na Terra,0
35,Terra e universo,Física,Baixa,As marés só acontecem por causa do vento,0
36,Terra e universo,Física,Baixa,A luz viaja devagar no  vazio do espaço,0
37,Terra e universo,Física,Baixa,Todos os planetas têm ar como a terra,0
38,Terra e universo,Física,Baixa,Os dias têm a mesma duração em qualquer planeta,0
39,Terra e universo,Física,Baixa,A superfície da Lua é cheia de rios e árvores,0
40,Terra e universo,Física,Baixa,Marte é um planeta  de cor azul,0
